Country,Year,Total_Access,Urban_Access,Rural_Access
AFG,2020,33.8,84.2,16.6
AFG,2021,34.17382613,85.11278935,16.79794417
AFG,2022,34.55178676,86.035474,16.9982487
AFG,2023,34.93392761,86.96816122,17.20094173
AFG,2024,35.32029491,87.91095945,17.40605174
AFG,2025,35.71093542,88.86397831,17.61360755
AFG,2026,36.10589639,89.82732858,17.82363833
AFG,2027,36.50522561,90.80112227,18.0361736
AFG,2028,36.90897138,91.78547259,18.2512432
AFG,2029,37.31718256,92.78049399,18.46887737
AFG,2030,37.72990854,93.78630214,18.68910669
AFG,2031,38.14719924,94.80301399,18.9119621
AFG,2032,38.56910515,95.83074773,19.13747491
AFG,2033,38.99567732,96.86962286,19.36567681
AFG,2034,39.42696736,97.91976015,19.59659988
AFG,2035,39.86302743,98.9812817,19.83027655
AFG,2036,40.30391031,100,20.06673966
AFG,2037,40.74966933,100,20.30602245
AFG,2038,41.20035842,100,20.54815852
AFG,2039,41.6560321,100,20.79318191
AFG,2040,42.11674551,100,21.04112704
AFG,2041,42.58255439,100,21.29202875
AFG,2042,43.05351509,100,21.54592231
AFG,2043,43.52968458,100,21.80284338
AFG,2044,44.01112048,100,22.06282806
AFG,2045,44.49788104,100,22.3259129
AFG,2046,44.99002514,100,22.59213485
AFG,2047,45.48761233,100,22.86153132
AFG,2048,45.99070281,100,23.13414017
AFG,2049,46.49935744,100,23.4099997
AFG,2050,47.01363776,100,23.68914868
AGO,2020,49.7,76.7,8.2
AGO,2021,50.20241774,77.46445792,8.280916007
AGO,2022,50.70991443,78.23653508,8.362630477
AGO,2023,51.22254141,79.01630743,8.445151289
AGO,2024,51.74035053,79.80385166,8.528486401
AGO,2025,52.2633942,80.59924522,8.612643848
AGO,2026,52.79172531,81.40256636,8.697631743
AGO,2027,53.32539733,82.21389409,8.783458283
AGO,2028,53.86446425,83.0333082,8.870131743
AGO,2029,54.4089806,83.8608893,8.957660479
AGO,2030,54.95900147,84.69671878,9.046052932
AGO,2031,55.5145825,85.54087885,9.135317625
AGO,2032,56.07577991,86.39345254,9.225463164
AGO,2033,56.64265047,87.25452372,9.316498242
AGO,2034,57.21525153,88.12417707,9.408431636
AGO,2035,57.79364101,89.00249812,9.501272211
AGO,2036,58.37787744,89.88957328,9.595028919
AGO,2037,58.96801993,90.78548979,9.6897108
AGO,2038,59.56412816,91.69033577,9.785326983
AGO,2039,60.16626247,92.60420023,9.881886688
AGO,2040,60.77448375,93.52717303,9.979399226
AGO,2041,61.38885354,94.45934498,10.077874
AGO,2042,62.00943401,95.40080775,10.1773205
AGO,2043,62.63628793,96.35165394,10.27774832
AGO,2044,63.26947872,97.31197709,10.37916715
AGO,2045,63.90907045,98.28187163,10.48158675
AGO,2046,64.55512781,99.26143298,10.58501701
AGO,2047,65.20771617,100,10.6894679
AGO,2048,65.86690155,100,10.79494949
AGO,2049,66.53275065,100,10.90147196
AGO,2050,67.20533081,100,11.00904556
ALB,2020,82.7,93.5,66.4
ALB,2021,83.547865,94.44561158,67.11044679
ALB,2022,84.40442257,95.40078659,67.82849501
ALB,2023,85.26976182,96.36562176,68.55422598
ALB,2024,86.14397278,97.34021478,69.28772191
ALB,2025,87.02714642,98.32466434,70.02906588
ALB,2026,87.91937461,99.31907012,70.77834186
ALB,2027,88.82075019,100,71.53563472
ALB,2028,89.73136695,100,72.30103023
ALB,2029,90.65131961,100,73.07461509
ALB,2030,91.58070391,100,73.85647693
ALB,2031,92.51961653,100,74.64670429
ALB,2032,93.46815516,100,75.44538669
ALB,2033,94.42641849,100,76.2526146
ALB,2034,95.39450622,100,77.06847944
ALB,2035,96.37251908,100,77.89307362
ALB,2036,97.36055881,100,78.72649055
ALB,2037,98.35872822,100,79.56882463
ALB,2038,99.36713117,100,80.42017125
