"","Country Name","iso3c","Population","year","Average household size (number of members)","gdp_ppp","GDP","average_household_size","num_households","gdp_per_capita","avg_m2_capita","residential_building_stock_m2","total_building_stock_m2"
"1","Afghanistan","AFG",38972230,2020,8.04,75.438655825,75438655825,8.04,4847292.28855721,1935.70282801369,1.93570282801369,75438655.825,150877311.65
"2","Afghanistan","AFG",40099462,2021,8.04,78.3203201081627,78320320108.1627,8.04,4987495.27363184,1953.15139410505,1.95315139410505,78320320.1081627,156640640.216325
"3","Afghanistan","AFG",41128771,2022,8.04,81.312060438546,81312060438.546,8.04,5115518.78109453,1977.01167483332,1.97701167483332,81312060.438546,162624120.877092
"4","Afghanistan","AFG",42239854,2023,8.04,84.4180815863734,84418081586.3734,8.04,5253713.1840796,1998.54103630125,1.99854103630125,84418081.5863734,168836163.172747
"5","Afghanistan","AFG",43372950,2024,8.04,87.6427489389423,87642748938.9423,8.04,5394645.52238806,2020.67760986842,2.02067760986842,87642748.9389423,175285497.877885
"6","Afghanistan","AFG",44515793,2025,8.04,90.990594636,90990594636,8.04,5536790.17412935,2044.00704792567,2.04400704792567,90990594.636,181981189.272
"7","Afghanistan","AFG",45667550,2026,8.04,96.7365418833992,96736541883.3992,8.04,5680043.53233831,2118.27746142281,2.11827746142281,96736541.8833992,193473083.766798
"8","Afghanistan","AFG",46827624,2027,8.04,102.845338828638,102845338828.638,8.04,5824331.34328358,2196.25362219184,2.19625362219184,102845338.828638,205690677.657276
"9","Afghanistan","AFG",47990912,2028,8.04,109.339898996249,109339898996.249,8.04,5969018.90547264,2278.34592925113,2.27834592925113,109339898.996249,218679797.992499
"10","Afghanistan","AFG",49158072,2029,8.04,116.244582872442,116244582872.442,8.04,6114188.05970149,2364.7099681298,2.3647099681298,116244582.872442,232489165.744885
"11","Afghanistan","AFG",50330837,2030,8.04,123.585289279,123585289279,8.04,6260054.35323383,2455.45865408517,2.45545865408517,123585289.279,247170578.558
"12","Afghanistan","AFG",51506437,2031,8.04,131.804617341753,131804617341.753,8.04,6406273.25870647,2558.99310879829,2.55899310879829,131804617.341753,263609234.683506
"13","Afghanistan","AFG",52685458,2032,8.04,140.570590997985,140570590997.985,8.04,6552917.66169154,2668.10987954181,2.66810987954181,140570590.997985,281141181.99597
"14","Afghanistan","AFG",53866558,2033,8.04,149.919566188545,149919566188.545,8.04,6699820.64676617,2783.16587795613,2.78316587795613,149919566.188545,299839132.37709
"15","Afghanistan","AFG",55046630,2034,8.04,159.890316790968,159890316790.968,8.04,6846595.77114428,2904.63406735287,2.90463406735287,159890316.790968,319780633.581937
"16","Afghanistan","AFG",56226855,2035,8.04,170.52419543,170524195430,8.04,6993389.92537314,3032.78914372856,3.03278914372856,170524195.43,341048390.86
"17","Afghanistan","AFG",57410144,2036,8.04,182.067507000964,182067507000.964,8.04,7140565.17412935,3171.34733194475,3.17134733194475,182067507.000964,364135014.001928
"18","Afghanistan","AFG",58600249,2037,8.04,194.39222112708,194392221127.08,8.04,7288588.1840796,3317.25930255143,3.31725930255143,194392221.12708,388784442.254161
"19","Afghanistan","AFG",59792941,2038,8.04,207.551233370376,207551233370.376,8.04,7436932.96019901,3471.16615940294,3.47116615940294,207551233.370376,415102466.740753
"20","Afghanistan","AFG",60985590,2039,8.04,221.601019957498,221601019957.498,8.04,7585272.3880597,3633.66198404406,3.63366198404406,221601019.957498,443202039.914995
"21","Afghanistan","AFG",62180342,2040,8.04,236.601880166,236601880166,8.04,7733873.38308458,3805.0913287997,3.8050913287997,236601880.166,473203760.332
"22","Afghanistan","AFG",63375847,2041,8.04,252.436883609612,252436883609.612,8.04,7882568.03482587,3983.17175326449,3.98317175326449,252436883.609612,504873767.219224
"23","Afghanistan","AFG",64572473,2042,8.04,269.331672942852,269331672942.852,8.04,8031402.11442786,4170.99826644167,4.17099826644167,269331672.942852,538663345.885703
"24","Afghanistan","AFG",65768823,2043,8.04,287.35717622935,287357176229.35,8.04,8180201.86567164,4369.20052878778,4.36920052878778,287357176.22935,574714352.4587
"25","Afghanistan","AFG",66964990,2044,8.04,306.589068520087,306589068520.087,8.04,8328978.85572139,4578.34860454825,4.57834860454825,306589068.520087,613178137.040174
"26","Afghanistan","AFG",68161269,2045,8.04,327.108089554,327108089554,8.04,8477769.7761194,4799.03168401985,4.79903168401985,327108089.554,654216179.108
"27","Afghanistan","AFG",69355671,2046,8.04,348.298792295718,348298792295.718,8.04,8626327.23880597,5021.92232118579,5.02192232118579,348298792.295718,696597584.591437
"28","Afghanistan","AFG",70546052,2047,8.04,370.862270266872,370862270266.872,8.04,8774384.57711443,5257.02374197882,5.25702374197882,370862270.266872,741724540.533745
"29","Afghanistan","AFG",71729374,2048,8.04,394.887454535654,394887454535.654,8.04,8921563.93034826,5505.24049653151,5.50524049653151,394887454.535654,789774909.071309
"30","Afghanistan","AFG",72905780,2049,8.04,420.469037299041,420469037299.041,8.04,9067883.08457712,5767.29358493991,5.76729358493991,420469037.299041,840938074.598081
"31","Afghanistan","AFG",74075234,2050,8.04,447.7078451,447707845100,8.04,9213337.56218906,6043.96126646053,6.04396126646053,447707845.1,895415690.2
"32","Albania","ALB",2375639,2050,3.3,77.238238712,77238238712,3.3,719890.606060606,32512.6160632992,32.5126160632992,77238238.712,154476477.424
"33","Albania","ALB",2398146,2049,3.3,76.0805908556088,76080590855.6088,3.3,726710.909090909,31724.7535619636,31.7247535619636,76080590.8556088,152161181.711218
"34","Albania","ALB",2420102,2048,3.3,74.9402938422942,74940293842.2942,3.3,733364.242424242,30965.7584028666,30.9657584028666,74940293.8422942,149880587.684588
"35","Albania","ALB",2441807,2047,3.3,73.8170876173654,73817087617.3654,3.3,739941.515151515,30230.5168333801,30.2305168333801,73817087.6173654,147634175.234731
"36","Albania","ALB",2463223,2046,3.3,72.7107160238348,72710716023.8349,3.3,746431.212121212,29518.5275648347,29.5185275648347,72710716.0238349,145421432.04767
"37","Albania","ALB",2484318,2045,3.3,71.620926744,71620926744,3.3,752823.636363636,28829.2105696614,28.8292105696614,71620926.744,143241853.488
"38","Albania","ALB",2505011,2044,3.3,70.3546183227534,70354618322.7534,3.3,759094.242424242,28085.552647375,28.085552647375,70354618.3227534,140709236.645507
"39","Albania","ALB",2525241,2043,3.3,69.1106991261458,69110699126.1458,3.3,765224.545454546,27367.9617613312,27.3679617613312,69110699.1261458,138221398.252292
"40","Albania","ALB",2544953,2042,3.3,67.8887732969187,67888773296.9187,3.3,771197.878787879,26675.8456037965,26.6758456037965,67888773.2969187,135777546.593837
"41","Albania","ALB",2564075,2041,3.3,66.6884519768488,66688451976.8488,3.3,776992.424242424,26008.7758653116,26.0087758653116,66688451.9768488,133376903.953698
"42","Albania","ALB",2582414,2040,3.3,65.509353183,65509353183,3.3,782549.696969697,25367.4868487392,25.3674868487392,65509353.183,131018706.366
"43","Albania","ALB",2599984,2039,3.3,64.1866732813732,64186673281.3732,3.3,787873.939393939,24687.3339533525,24.6873339533525,64186673.2813732,128373346.562746
"44","Albania","ALB",2616702,2038,3.3,62.8906992169614,62890699216.9614,3.3,792940,24034.3375810319,24.0343375810319,62890699.2169614,125781398.433923
"45","Albania","ALB",2632573,2037,3.3,61.6208917801339,61620891780.1339,3.3,797749.393939394,23407.0970796,23.4070970796,61620891.7801339,123241783.560268
"46","Albania","ALB",2647479,2036,3.3,60.3767226482815,60376722648.2815,3.3,802266.363636364,22805.3641401052,22.8053641401052,60376722.6482815,120753445.296563
"47","Albania","ALB",2661514,2035,3.3,59.157674166,59157674166,3.3,806519.393939394,22227.0760800056,22.2270760800056,59157674.166,118315348.332
"48","Albania","ALB",2674584,2034,3.3,57.8973205585776,57897320558.5776,3.3,810480,21647.2245996303,21.6472245996303,57897320.5585776,115794641.117155
"49","Albania","ALB",2686792,2033,3.3,56.6638187711116,56663818771.1115,3.3,814179.393939394,21089.7675633661,21.0897675633661,56663818.7711115,113327637.542223
