Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/19/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.3108893,,,,,,,,,,87.35285804,,,,,,,,,,,,,,,97.34080782,,,,,,,
Africa Eastern and Southern,AFE,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35883.61133,,,,,,,,,,47545.06873,,,,,,,,,,,,,,,63984.12438,,,,,,,
Afghanistan,AFG,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309.672467,,,,,,,,,,2280.088882,,,,,,,,,,,,,,,3993.836107,,,,,,,
Africa Western and Central,AFW,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30308.56627,,,,,,,,,,38443.68722,,,,,,,,,,,,,,,51046.98769,,,,,,,
Angola,AGO,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1559.947681,,,,,,,,,,2010.44166,,,,,,,,,,,,,,,2991.346987,,,,,,,
Albania,ALB,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.8609255,,,,,,,,,,790.0547342,,,,,,,,,,,,,,,827.6939565,,,,,,,
Andorra,AND,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.04368348,,,,,,,,,,31.8541238,,,,,,,,,,,,,,,30.93581543,,,,,,,
Arab World,ARB,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47990.2062,,,,,,,,,,60338.91367,,,,,,,,,,,,,,,76974.63256,,,,,,,
United Arab Emirates,ARE,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.873608,,,,,,,,,,1386.317342,,,,,,,,,,,,,,,2263.105046,,,,,,,
Argentina,ARG,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8570.417946,,,,,,,,,,10030.14619,,,,,,,,,,,,,,,11432.73056,,,,,,,
Armenia,ARM,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874.9695379,,,,,,,,,,887.4462533,,,,,,,,,,,,,,,922.3350265,,,,,,,
American Samoa,ASM,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.91386801,,,,,,,,,,11.91386801,,,,,,,,,,,,,,,23.43530368,,,,,,,
Antigua and Barbuda,ATG,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.25936952,,,,,,,,,,28.94490907,,,,,,,,,,,,,,,31.86330247,,,,,,,
Australia,AUS,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10027.78042,,,,,,,,,,10794.84168,,,,,,,,,,,,,,,11945.98604,,,,,,,
