Country,iso3c,Year,extraction_5.4
Afghanistan,AFG,2021,1053366.5576470606
Afghanistan,AFG,2022,1061289.9410859756
Afghanistan,AFG,2023,1069213.3245248888
Afghanistan,AFG,2024,1077136.7079638038
Afghanistan,AFG,2025,1085060.091402717
Afghanistan,AFG,2026,1092983.47484163
Afghanistan,AFG,2027,1100906.858280545
Afghanistan,AFG,2028,1108830.2417194583
Afghanistan,AFG,2029,1116753.6251583733
Afghanistan,AFG,2030,1124677.0085972864
Afghanistan,AFG,2031,1132600.3920362014
Afghanistan,AFG,2032,1140523.7754751146
Afghanistan,AFG,2033,1148447.1589140296
Afghanistan,AFG,2034,1156370.5423529427
Afghanistan,AFG,2035,1164293.925791856
Afghanistan,AFG,2036,1172217.309230771
Afghanistan,AFG,2037,1180140.692669684
Afghanistan,AFG,2038,1188064.076108599
Afghanistan,AFG,2039,1195987.4595475122
Afghanistan,AFG,2040,1203910.8429864272
Afghanistan,AFG,2041,1211834.2264253404
Afghanistan,AFG,2042,1219757.6098642536
Afghanistan,AFG,2043,1227680.9933031686
Afghanistan,AFG,2044,1235604.3767420817
Afghanistan,AFG,2045,1243527.7601809967
Afghanistan,AFG,2046,1251451.1436199099
Afghanistan,AFG,2047,1259374.527058825
Afghanistan,AFG,2048,1267297.910497738
Afghanistan,AFG,2049,1275221.2939366512
Afghanistan,AFG,2050,1283144.6773755662
Africa,NA,2021,1924407973.6572723
Africa,NA,2022,1961105876.3401794
Africa,NA,2023,1997803779.0230713
Africa,NA,2024,2034501681.7059631
Africa,NA,2025,2071199584.388855
Africa,NA,2026,2107897487.071762
Africa,NA,2027,2144595389.754654
Africa,NA,2028,2181293292.437546
Africa,NA,2029,2217991195.1204376
Africa,NA,2030,2254689097.8033447
Africa,NA,2031,2291387000.4862366
Africa,NA,2032,2328084903.1691284
Africa,NA,2033,2364782805.8520203
Africa,NA,2034,2401480708.5349274
Africa,NA,2035,2438178611.217819
Africa,NA,2036,2474876513.900711
Africa,NA,2037,2511574416.583603
Africa,NA,2038,2548272319.26651
Africa,NA,2039,2584970221.949402
Africa,NA,2040,2621668124.6322937
Africa,NA,2041,2658366027.3151855
Africa,NA,2042,2695063929.9980927
Africa,NA,2043,2731761832.6809845
Africa,NA,2044,2768459735.3638763
Africa,NA,2045,2805157638.046768
Africa,NA,2046,2841855540.7296753
Africa,NA,2047,2878553443.412567
Africa,NA,2048,2915251346.095459
Africa,NA,2049,2951949248.778351
Africa,NA,2050,2988647151.4612427
Albania,ALB,2021,18188090.101961136
Albania,ALB,2022,18520476.050829887
Albania,ALB,2023,18852861.99969864
Albania,ALB,2024,19185247.94856739
Albania,ALB,2025,19517633.897436142
Albania,ALB,2026,19850019.846305013
Albania,ALB,2027,20182405.795173764
Albania,ALB,2028,20514791.744042516
Albania,ALB,2029,20847177.692911267
Albania,ALB,2030,21179563.64178002
Albania,ALB,2031,21511949.59064889
Albania,ALB,2032,21844335.53951764
Albania,ALB,2033,22176721.488386393
Albania,ALB,2034,22509107.437255144
Albania,ALB,2035,22841493.386123896
Albania,ALB,2036,23173879.334992766
Albania,ALB,2037,23506265.283861518
Albania,ALB,2038,23838651.23273027
Albania,ALB,2039,24171037.18159902
Albania,ALB,2040,24503423.130467772
Albania,ALB,2041,24835809.079336643
Albania,ALB,2042,25168195.028205395
Albania,ALB,2043,25500580.977074146
Albania,ALB,2044,25832966.925942898
Albania,ALB,2045,26165352.87481165
Albania,ALB,2046,26497738.82368052
