Country,iso3c,year,residential_building_stock_m2,Region,period,residential,total_building_stock_m2
Aruba,ABW,2020,3537075.219,Latin and South America,2020,0.69,5126195.969565217
Aruba,ABW,2021,3729260.1763469423,Latin and South America,2020,0.69,5404724.893256439
Aruba,ABW,2022,3931887.393341642,Latin and South America,2020,0.69,5698387.52658209
Aruba,ABW,2023,4145524.244184748,Latin and South America,2020,0.69,6008006.150992389
Aruba,ABW,2024,4370768.931029322,Latin and South America,2020,0.69,6334447.726129452
Aruba,ABW,2025,4608252.159,Latin and South America,2025,0.69,6678626.317391305
Aruba,ABW,2026,4688377.464307127,Latin and South America,2025,0.69,6794749.948271198
Aruba,ABW,2027,4769895.936552399,Latin and South America,2025,0.69,6912892.661670144
Aruba,ABW,2028,4852831.799220649,Latin and South America,2025,0.69,7033089.564087897
Aruba,ABW,2029,4937209.696978976,Latin and South America,2025,0.69,7155376.372433299
Aruba,ABW,2030,5023054.703000001,Latin and South America,2030,0.6849692167754552,7333256.123021723
Aruba,ABW,2031,5116054.881735568,Latin and South America,2030,0.6849692167754552,7469028.908802335
Aruba,ABW,2032,5210776.927692627,Latin and South America,2030,0.6849692167754552,7607315.482325989
Aruba,ABW,2033,5307252.720667201,Latin and South America,2030,0.6849692167754552,7748162.385532444
Aruba,ABW,2034,5405514.730699082,Latin and South America,2030,0.6849692167754552,7891617.022069918
Aruba,ABW,2035,5505596.029,Latin and South America,2035,0.6844493776447149,8043832.325402236
Aruba,ABW,2036,5610325.952931093,Latin and South America,2035,0.6844493776447149,8196845.721793191
Aruba,ABW,2037,5717048.096579879,Latin and South America,2035,0.6844493776447149,8352769.807831563
Aruba,ABW,2038,5825800.356845867,Latin and South America,2035,0.6844493776447149,8511659.951964969
Aruba,ABW,2039,5936621.351520449,Latin and South America,2035,0.6844493776447149,8673572.575884553
Aruba,ABW,2040,6049550.433,Latin and South America,2040,0.6839727127465678,8844724.826385783
Aruba,ABW,2041,6166554.156027879,Latin and South America,2040,0.6839727127465678,9015789.725390362
Aruba,ABW,2042,6285820.835841389,Latin and South America,2040,0.6839727127465678,9190163.172738256
Aruba,ABW,2043,6407394.240051352,Latin and South America,2040,0.6839727127465678,9367909.158717392
Aruba,ABW,2044,6531318.982773368,Latin and South America,2040,0.6839727127465678,9549092.911245154
Aruba,ABW,2045,6657640.541000001,Latin and South America,2045,0.6835372013487429,9739982.736657593
Aruba,ABW,2046,6789985.509037283,Latin and South America,2045,0.6835372013487429,9933600.535039512
Aruba,ABW,2047,6924961.3176038675,Latin and South America,2045,0.6835372013487429,10131067.195669325
Aruba,ABW,2048,7062620.264282302,Latin and South America,2045,0.6835372013487429,10332459.228768341
Aruba,ABW,2049,7203015.686260956,Latin and South America,2045,0.6835372013487429,10537854.665478485
Aruba,ABW,2050,7346201.981,Latin and South America,2050,0.6831450139550765,10753503.03513023
Afghanistan,AFG,2020,75438655.825,Other Asia,2020,0.69,109331385.2536232
Afghanistan,AFG,2021,78320320.10816266,Other Asia,2020,0.69,113507710.30168502
Afghanistan,AFG,2022,81312060.43854599,Other Asia,2020,0.69,117843565.8529652
Afghanistan,AFG,2023,84418081.58637339,Other Asia,2020,0.69,122345045.77735275
Afghanistan,AFG,2024,87642748.93894234,Other Asia,2020,0.69,127018476.72310485
Afghanistan,AFG,2025,90990594.63600002,Other Asia,2025,0.69,131870427.00869569
Afghanistan,AFG,2026,96736541.88339923,Other Asia,2025,0.69,140197886.78753513
Afghanistan,AFG,2027,102845338.82863776,Other Asia,2025,0.69,149051215.69367793
Afghanistan,AFG,2028,109339898.99624926,Other Asia,2025,0.69,158463621.73369458
Afghanistan,AFG,2029,116244582.87244233,Other Asia,2025,0.69,168470409.96006137
Afghanistan,AFG,2030,123585289.27900001,Other Asia,2030,0.6846531431450565,180507882.73795474
Afghanistan,AFG,2031,131804617.34175314,Other Asia,2030,0.6846531431450565,192512980.71354634
Afghanistan,AFG,2032,140570590.997985,Other Asia,2030,0.6846531431450565,205316505.74516168
Afghanistan,AFG,2033,149919566.18854487,Other Asia,2030,0.6846531431450565,218971559.08737516
Afghanistan,AFG,2034,159890316.7909684,Other Asia,2030,0.6846531431450565,233534773.6176136
Afghanistan,AFG,2035,170524195.43,Other Asia,2035,0.6829701704241671,249680297.63890544
Afghanistan,AFG,2036,182067507.00096384,Other Asia,2035,0.6829701704241671,266581931.22532505
Afghanistan,AFG,2037,194392221.12708026,Other Asia,2035,0.6829701704241671,284627688.79986453
Afghanistan,AFG,2038,207551233.37037638,Other Asia,2035,0.6829701704241671,303895019.66311955
Afghanistan,AFG,2039,221601019.95749772,Other Asia,2035,0.6829701704241671,324466615.8990072
Afghanistan,AFG,2040,236601880.16599998,Other Asia,2040,0.6817642578819798,347043538.04208684
Afghanistan,AFG,2041,252436883.6096122,Other Asia,2040,0.6817642578819798,370270046.7077163
Afghanistan,AFG,2042,269331672.94285166,Other Asia,2040,0.6817642578819798,395051030.9525139
Afghanistan,AFG,2043,287357176.22935,Other Asia,2040,0.6817642578819798,421490526.83118856
Afghanistan,AFG,2044,306589068.52008724,Other Asia,2040,0.6817642578819798,449699533.1972373
Afghanistan,AFG,2045,327108089.554,Other Asia,2045,0.6809576965008283,480364773.3697392
Afghanistan,AFG,2046,348298792.29571825,Other Asia,2045,0.6809576965008283,511483744.2700005
Afghanistan,AFG,2047,370862270.2668724,Other Asia,2045,0.6809576965008283,544618663.0573186
Afghanistan,AFG,2048,394887454.5356543,Other Asia,2045,0.6809576965008283,579900126.7844162
Afghanistan,AFG,2049,420469037.2990406,Other Asia,2045,0.6809576965008283,617467192.8368889
Afghanistan,AFG,2050,447707845.1000001,Other Asia,2050,0.6804366159462483,657971418.0686702
Angola,AGO,2020,197969538.073,Africa,2020,0.76,260486234.30657896
Angola,AGO,2021,203929283.15306768,Africa,2020,0.76,268328004.14877325
Angola,AGO,2022,210068442.50951913,Africa,2020,0.76,276405845.407262
Angola,AGO,2023,216392417.29326552,Africa,2020,0.76,284726864.8595599
Angola,AGO,2024,222906771.25337806,Africa,2020,0.76,293298383.228129
Angola,AGO,2025,229617235.63200003,Africa,2025,0.75,306156314.17600006
Angola,AGO,2026,238959769.12351212,Africa,2025,0.75,318613025.4980162
Angola,AGO,2027,248682426.22290495,Africa,2025,0.75,331576568.2972066
Angola,AGO,2028,258800673.18003446,Africa,2025,0.75,345067564.24004596
Angola,AGO,2029,269330605.5265999,Africa,2025,0.75,359107474.0354665
Angola,AGO,2030,280288973.68,Africa,2030,0.7414956504672269,378004879.06218463
Angola,AGO,2031,292274907.402103,Africa,2030,0.7414956504672269,394169415.8528596
Angola,AGO,2032,304773392.88571304,Africa,2030,0.7414956504672269,411025193.05901664
Angola,AGO,2033,317806348.2653962,Africa,2030,0.7414956504672269,428601770.03754765
Angola,AGO,2034,331396628.9559293,Africa,2030,0.7414956504672269,446929970.1854105
Angola,AGO,2035,345568067.73300004,Africa,2035,0.7361776186790023,469408548.92204905
Angola,AGO,2036,361454492.5171553,Africa,2035,0.7361776186790023,490988157.40384704
Angola,AGO,2037,378071246.6227617,Africa,2035,0.7361776186790023,513559821.7467859
Angola,AGO,2038,395451904.6850828,Africa,2035,0.7361776186790023,537169148.6555676
Angola,AGO,2039,413631584.8295586,Africa,2035,0.7361776186790023,561863841.4623083
Angola,AGO,2040,432647019.629,Africa,2040,0.7308401113976266,591985870.618985
Angola,AGO,2041,453919298.5170564,Africa,2040,0.7308401113976266,621092481.7043786
Angola,AGO,2042,476237487.41618675,Africa,2040,0.7308401113976266,651630199.2585642
Angola,AGO,2043,499653011.3644426,Africa,2040,0.7308401113976266,683669387.5612931
Angola,AGO,2044,524219823.8530988,Africa,2040,0.7308401113976266,717283870.5453697
Angola,AGO,2045,549994531.145,Africa,2045,0.7256345586793843,757949748.3498585
Angola,AGO,2046,577890974.6607465,Africa,2045,0.7256345586793843,796393953.0560353
Angola,AGO,2047,607202362.3564053,Africa,2045,0.7256345586793843,836788098.2150034
Angola,AGO,2048,638000462.055396,Africa,2045,0.7256345586793843,879231087.3623803
Angola,AGO,2049,670360681.7392099,Africa,2045,0.7256345586793843,923826840.5507451
Angola,AGO,2050,704362254.1810001,Africa,2050,0.7205461095530795,977539459.0887216
Albania,ALB,2020,38617868.625,Europe,2020,0.7,55168383.75
Albania,ALB,2021,40166235.607445225,Europe,2020,0.7,57380336.58206461
Albania,ALB,2022,41776683.70409194,Europe,2020,0.7,59680976.720131345
Albania,ALB,2023,43451702.03075324,Europe,2020,0.7,62073860.043933205
Albania,ALB,2024,45193879.50327985,Europe,2020,0.7,64562685.004685506
Albania,ALB,2025,47005908.839,Europe,2025,0.7,67151298.34142858
Albania,ALB,2026,48169435.38471247,Europe,2025,0.7,68813479.12101783
Albania,ALB,2027,49361762.437765725,Europe,2025,0.7,70516803.48252247
Albania,ALB,2028,50583602.890552394,Europe,2025,0.7,72262289.84364629
Albania,ALB,2029,51835687.28152804,Europe,2025,0.7,74050981.83075435
Albania,ALB,2030,53118764.232,Europe,2030,0.6941862049680265,76519475.39701772
Albania,ALB,2031,54275094.53322502,Europe,2030,0.6941862049680265,78185210.45909415
