,Country Name,iso3c,Population,year,Average household size (number of members),gdp_ppp,GDP,average_household_size,num_households,gdp_per_capita,avg_m2_capita,residential_building_stock_m2,total_building_stock_m2,,
1,Afghanistan,AFG,38972230,2020,8.04,75.43865583,75438655825,8.04,4847292.289,1935.702828,1.935702828,75438655.83,150877311.7,,
2,Afghanistan,AFG,40099462,2021,8.04,78.32032011,78320320108,8.04,4987495.274,1953.151394,1.953151394,78320320.11,156640640.2,,
3,Afghanistan,AFG,41128771,2022,8.04,81.31206044,81312060439,8.04,5115518.781,1977.011675,1.977011675,81312060.44,162624120.9,,
4,Afghanistan,AFG,42239854,2023,8.04,84.41808159,84418081586,8.04,5253713.184,1998.541036,1.998541036,84418081.59,168836163.2,,
5,Afghanistan,AFG,43372950,2024,8.04,87.64274894,87642748939,8.04,5394645.522,2020.67761,2.02067761,87642748.94,175285497.9,,
6,Afghanistan,AFG,44515793,2025,8.04,90.99059464,90990594636,8.04,5536790.174,2044.007048,2.044007048,90990594.64,181981189.3,,
7,Afghanistan,AFG,45667550,2026,8.04,96.73654188,96736541883,8.04,5680043.532,2118.277461,2.118277461,96736541.88,193473083.8,,
8,Afghanistan,AFG,46827624,2027,8.04,102.8453388,1.02845E+11,8.04,5824331.343,2196.253622,2.196253622,102845338.8,205690677.7,,
9,Afghanistan,AFG,47990912,2028,8.04,109.339899,1.0934E+11,8.04,5969018.905,2278.345929,2.278345929,109339899,218679798,,
10,Afghanistan,AFG,49158072,2029,8.04,116.2445829,1.16245E+11,8.04,6114188.06,2364.709968,2.364709968,116244582.9,232489165.7,,
11,Afghanistan,AFG,50330837,2030,8.04,123.5852893,1.23585E+11,8.04,6260054.353,2455.458654,2.455458654,123585289.3,247170578.6,,
12,Afghanistan,AFG,51506437,2031,8.04,131.8046173,1.31805E+11,8.04,6406273.259,2558.993109,2.558993109,131804617.3,263609234.7,,
13,Afghanistan,AFG,52685458,2032,8.04,140.570591,1.40571E+11,8.04,6552917.662,2668.10988,2.66810988,140570591,281141182,,
14,Afghanistan,AFG,53866558,2033,8.04,149.9195662,1.4992E+11,8.04,6699820.647,2783.165878,2.783165878,149919566.2,299839132.4,,
15,Afghanistan,AFG,55046630,2034,8.04,159.8903168,1.5989E+11,8.04,6846595.771,2904.634067,2.904634067,159890316.8,319780633.6,,
16,Afghanistan,AFG,56226855,2035,8.04,170.5241954,1.70524E+11,8.04,6993389.925,3032.789144,3.032789144,170524195.4,341048390.9,,
17,Afghanistan,AFG,57410144,2036,8.04,182.067507,1.82068E+11,8.04,7140565.174,3171.347332,3.171347332,182067507,364135014,,
18,Afghanistan,AFG,58600249,2037,8.04,194.3922211,1.94392E+11,8.04,7288588.184,3317.259303,3.317259303,194392221.1,388784442.3,,
19,Afghanistan,AFG,59792941,2038,8.04,207.5512334,2.07551E+11,8.04,7436932.96,3471.166159,3.471166159,207551233.4,415102466.7,,
20,Afghanistan,AFG,60985590,2039,8.04,221.60102,2.21601E+11,8.04,7585272.388,3633.661984,3.633661984,221601020,443202039.9,,
21,Afghanistan,AFG,62180342,2040,8.04,236.6018802,2.36602E+11,8.04,7733873.383,3805.091329,3.805091329,236601880.2,473203760.3,,
22,Afghanistan,AFG,63375847,2041,8.04,252.4368836,2.52437E+11,8.04,7882568.035,3983.171753,3.983171753,252436883.6,504873767.2,,
23,Afghanistan,AFG,64572473,2042,8.04,269.3316729,2.69332E+11,8.04,8031402.114,4170.998266,4.170998266,269331672.9,538663345.9,,
24,Afghanistan,AFG,65768823,2043,8.04,287.3571762,2.87357E+11,8.04,8180201.866,4369.200529,4.369200529,287357176.2,574714352.5,,
25,Afghanistan,AFG,66964990,2044,8.04,306.5890685,3.06589E+11,8.04,8328978.856,4578.348605,4.578348605,306589068.5,613178137,,
26,Afghanistan,AFG,68161269,2045,8.04,327.1080896,3.27108E+11,8.04,8477769.776,4799.031684,4.799031684,327108089.6,654216179.1,,
27,Afghanistan,AFG,69355671,2046,8.04,348.2987923,3.48299E+11,8.04,8626327.239,5021.922321,5.021922321,348298792.3,696597584.6,,
28,Afghanistan,AFG,70546052,2047,8.04,370.8622703,3.70862E+11,8.04,8774384.577,5257.023742,5.257023742,370862270.3,741724540.5,,
29,Afghanistan,AFG,71729374,2048,8.04,394.8874545,3.94887E+11,8.04,8921563.93,5505.240497,5.505240497,394887454.5,789774909.1,,
30,Afghanistan,AFG,72905780,2049,8.04,420.4690373,4.20469E+11,8.04,9067883.085,5767.293585,5.767293585,420469037.3,840938074.6,,
31,Afghanistan,AFG,74075234,2050,8.04,447.7078451,4.47708E+11,8.04,9213337.562,6043.961266,6.043961266,447707845.1,895415690.2,,
