Country.Name,iso3c,year,total_building_stock_m2,Construction Comparative,Total_Cost,Construction_GHG_Intensity,Building_GHG_Intensity,Embodied Carbon in Buildings,Embodied Carbon in Construction,,,,,
Afghanistan,AFG,2020,18765834.78,637.51,11963407332,938445.1,15011385,179587313.4,11227000.99,,,,,
Afghanistan,AFG,2021,19482666.69,637.51,12420394844,938445.1,15011385,186447328.9,11655858.68,,,,,
Afghanistan,AFG,2022,20226880.71,637.51,12894838719,938445.1,15011385,193569388.5,12101098.21,,,,,
Afghanistan,AFG,2023,20999522.78,637.51,13387405769,938445.1,15011385,200963502.2,12563345.35,,,,,
Afghanistan,AFG,2024,21801678.84,637.51,13898788278,938445.1,15011385,208640061.9,13043249.76,,,,Embodied Carbon in Buildings,Embodied Carbon in Construction
Afghanistan,AFG,2025,22634476.28,637.51,14429704972,938445.1,15011385,216609856.8,13541485.93,,,East Asia and Pacific,367489.6482,14047106.88
Afghanistan,AFG,2026,24063816.39,637.51,15340923586,938445.1,15011385,230288510.2,14396614.57,,,Europe and Central Asia,429531.0633,4688629.699
Afghanistan,AFG,2027,25583417.62,637.51,16309684566,938445.1,15011385,244830954.3,15305743.56,,,Latin America and Caribbean,487166.6121,13408428.28
Afghanistan,AFG,2028,27198979.85,637.51,17339621644,938445.1,15011385,260291736.3,16272282.97,,,Middle East and North Africa,938445.1,15011385
Afghanistan,AFG,2029,28916562.9,637.51,18434598017,938445.1,15011385,276728848.1,17299858.18,,,North America,284101.1124,8734324.867
Afghanistan,AFG,2030,30742609.27,637.51,19598720838,938445.1,15011385,294203944,18392323.54,,,Sub Saharan Africa,899792.8,62727133
Afghanistan,AFG,2031,32787218.24,637.51,20902179503,938445.1,15011385,313770663.9,19615547.93,,,South Asia ,576581.4669,14274132.53
Afghanistan,AFG,2032,34967808.71,637.51,22292327728,938445.1,15011385,334638714.1,20920125.72,,,World (Other),,
Afghanistan,AFG,2033,37293424.43,637.51,23774931005,938445.1,15011385,356894642.7,22311467.5,,,,,
Afghanistan,AFG,2034,39773710.64,637.51,25356138273,938445.1,15011385,380630753.7,23795343.72,,,,,
Afghanistan,AFG,2035,42418954.09,637.51,27042507420,938445.1,15011385,405945490.2,25377908.58,,,,,
Afghanistan,AFG,2036,45290424.63,637.51,28873098604,938445.1,15011385,433425199.3,27095817.91,,,,,
Afghanistan,AFG,2037,48356273.91,637.51,30827608182,938445.1,15011385,462765095,28930017.84,,,,,
Afghanistan,AFG,2038,51629660.04,637.51,32914424574,938445.1,15011385,494091099.3,30888380.46,,,,,
Afghanistan,AFG,2039,55124631.83,637.51,35142504038,938445.1,15011385,527537658,32979310.72,,,,,
Afghanistan,AFG,2040,58856189.1,637.51,37521409111,938445.1,15011385,563248317.9,35211782.52,,,,,
Afghanistan,AFG,2041,62795244.68,637.51,40032596435,938445.1,15011385,600944717.6,37568393.96,,,,,
Afghanistan,AFG,2042,66997928.59,637.51,42711849457,938445.1,15011385,641164016.3,40082725.84,,,,,
Afghanistan,AFG,2043,71481884.63,637.51,45570416273,938445.1,15011385,684075063.3,42765333.86,,,,,
Afghanistan,AFG,2044,76265937.44,637.51,48620297779,938445.1,15011385,729858008.8,45627480.21,,,,,
Afghanistan,AFG,2045,81370171.53,637.51,51874298053,938445.1,15011385,778705059.7,48681180.82,,,,,
Afghanistan,AFG,2046,86641490.62,637.51,55234816686,938445.1,15011385,829151098.7,51834843.07,,,,,
Afghanistan,AFG,2047,92254296.09,637.51,58813036298,938445.1,15011385,882865130.9,55192805.73,,,,,
Afghanistan,AFG,2048,98230710.08,637.51,62623059985,938445.1,15011385,940058863.3,58768303.79,,,,,
Afghanistan,AFG,2049,104594287.9,637.51,66679904470,938445.1,15011385,1000957718,62575429.62,,,,,
Afghanistan,AFG,2050,111370110.7,637.51,70999559286,938445.1,15011385,1065801719,66629188.51,,,,,
Albania,ALB,2050,46811053.76,618.33,28944678874,429531.0633,4688629.699,135710881,12432638.69,,,,,
Albania,ALB,2049,46109449,618.33,28510855602,429531.0633,4688629.699,133676844.3,12246298.12,,,,,
Albania,ALB,2048,45418359.9,618.33,28083534480,429531.0633,4688629.699,131673293.8,12062750.43,,,,,
Albania,ALB,2047,44737628.86,618.33,27662618052,429531.0633,4688629.699,129699772.6,11881953.75,,,,,
Albania,ALB,2046,44067100.62,618.33,27248010327,429531.0633,4688629.699,127755830.5,11703866.85,,,,,
Albania,ALB,2045,43406622.27,618.33,26839616748,429531.0633,4688629.699,125841024.2,11528449.12,,,,,
Albania,ALB,2044,42639162.62,618.33,26365073423,429531.0633,4688629.699,123616066.3,11324618.02,,,,,
Albania,ALB,2043,41885272.2,618.33,25898920358,429531.0633,4688629.699,121430447.2,11124390.8,,,,,
Albania,ALB,2042,41144711.09,618.33,25441009208,429531.0633,4688629.699,119283471.3,10927703.74,,,,,
Albania,ALB,2041,40417243.62,618.33,24991194249,429531.0633,4688629.699,117174455.6,10734494.24,,,,,
Albania,ALB,2040,39702638.29,618.33,24549332336,429531.0633,4688629.699,115102728.7,10544700.82,,,,,
Albania,ALB,2039,38901014.11,618.33,24053664055,429531.0633,4688629.699,112778723.7,10331795.9,,,,,
Albania,ALB,2038,38115575.28,618.33,23568003665,429531.0633,4688629.699,110501641.9,10123189.67,,,,,
Albania,ALB,2037,37345995.02,618.33,23092149100,429531.0633,4688629.699,108270536.1,9918795.357,,,,,
Albania,ALB,2036,36591953.12,618.33,22625902373,429531.0633,4688629.699,106084477.8,9718527.904,,,,,
Albania,ALB,2035,35853135.86,618.33,22169069495,429531.0633,4688629.699,103942557.6,9522303.993,,,,,
Albania,ALB,2034,35089285.19,618.33,21696757710,429531.0633,4688629.699,101728062.6,9319431.409,,,,,
Albania,ALB,2033,34341708.35,618.33,21234508522,429531.0633,4688629.699,99560747.3,9120881.024,,,,,
Albania,ALB,2032,33610058.62,618.33,20782107548,429531.0633,4688629.699,97439606.66,8926560.753,,,,,
Albania,ALB,2031,32893996.69,618.33,20339344971,429531.0633,4688629.699,95363656.89,8736380.472,,,,,
Albania,ALB,2030,32193190.44,618.33,19906015447,429531.0633,4688629.699,93331935.21,8550251.981,,,,,
Albania,ALB,2029,31415568.05,618.33,19425188192,429531.0633,4688629.699,91077514.27,8343721.739,,,,,
Albania,ALB,2028,30656729.02,618.33,18955975258,429531.0633,4688629.699,88877548.57,8142180.208,,,,,
Albania,ALB,2027,29916219.66,618.33,18498096102,429531.0633,4688629.699,86730722.76,7945506.888,,,,,
Albania,ALB,2026,29193597.2,618.33,18051276958,429531.0633,4688629.699,84635753.25,7753584.186,,,,,
Albania,ALB,2025,28488429.6,618.33,17615250674,429531.0633,4688629.699,82591387.47,7566297.352,,,,,
Albania,ALB,2024,27390230,618.33,16936200917,429531.0633,4688629.699,79407574.61,7274624.388,,,,,
Albania,ALB,2023,26334364.87,618.33,16283327828,429531.0633,4688629.699,76346494.45,6994195.116,,,,,
Albania,ALB,2022,25319202.24,618.33,15655622324,429531.0633,4688629.699,73403415.79,6724576.103,,,,,
Albania,ALB,2021,24343173.1,618.33,15052114220,429531.0633,4688629.699,70573789.77,6465350.626,,,,,
Albania,ALB,2020,23404768.86,618.33,14471870731,429531.0633,4688629.699,67853242.91,6216118.023,,,,,
Algeria,DZA,2020,189195303.1,742.02,1.40387E+11,938445.1,15011385,2107398785,131745209.6,,,,,
Algeria,DZA,2021,194860287.5,742.02,1.4459E+11,938445.1,15011385,2170499617,135689993.3,,,,,
Algeria,DZA,2022,200694895.7,742.02,1.4892E+11,938445.1,15011385,2235489848,139752893.8,,,,,
Algeria,DZA,2023,206704206.9,742.02,1.53379E+11,938445.1,15011385,2302426050,143937447.8,,,,,
