Country.Name,iso3c,year,total_building_stock_m2,Construction Comparative,Total_Cost,Construction_Intensity,Building_Intensity,Embodied_Carbon_Buildings,Embodied_Carbon_Construction
Afghanistan,AFG,2020,150877311.65,637.51,96185794949.9915,576581.4669,14274132.53,1372968784.6195834,55458946.74720871
Afghanistan,AFG,2021,156640640.216325,637.51,99859974544.30936,576581.4669,14274132.53,1425414511.087898,57577410.607354544
Afghanistan,AFG,2022,162624120.877092,637.51,103674503300.35492,576581.4669,14274132.53,1479863600.0911884,59776797.19304753
Afghanistan,AFG,2023,168836163.172747,637.51,107634742384.25793,576581.4669,14274132.53,1536392577.625306,62060197.65331904
Afghanistan,AFG,2024,175285497.877885,637.51,111746257752.13048,576581.4669,14274132.53,1595080892.8854501,64430821.21530888
Afghanistan,AFG,2025,181981189.272,637.51,116014827972.79272,576581.4669,14274132.53,1656011029.9287946,66891999.69470399
Afghanistan,AFG,2026,193473083.766798,637.51,123341025632.17139,576581.4669,14274132.53,1760586146.2597413,71116149.48794788
Afghanistan,AFG,2027,205690677.657276,637.51,131129863913.29002,576581.4669,14274132.53,1871765056.1391664,75607049.28952214
Afghanistan,AFG,2028,218679797.992499,637.51,139410558018.19803,576581.4669,14274132.53,1989964781.2330127,80381544.04348017
Afghanistan,AFG,2029,232489165.744885,637.51,148214168054.02164,576581.4669,14274132.53,2115628677.626797,85457542.43195091
Afghanistan,AFG,2030,247170578.558,637.51,157573715536.5106,576581.4669,14274132.53,2249228098.812672,90854084.04892461
Afghanistan,AFG,2031,263609234.683506,637.51,168053523203.0819,576581.4669,14274132.53,2398818262.3342214,96896546.92614616
Afghanistan,AFG,2032,281141181.99597,637.51,179230314934.25082,576581.4669,14274132.53,2558357268.7651343,103340877.8977393
Afghanistan,AFG,2033,299839132.37709,637.51,191150445281.71863,576581.4669,14274132.53,2728506789.119765,110213804.1391215
Afghanistan,AFG,2034,319780633.581937,637.51,203863351714.82068,576581.4669,14274132.53,2909972500.387353,117543830.37888195
