Country,iso3c,year,operational_3.1,average_3.2
Aruba,ABW,2020,NA,NA
Aruba,ABW,2021,NA,NA
Aruba,ABW,2022,NA,NA
Aruba,ABW,2023,NA,NA
Aruba,ABW,2024,NA,NA
Aruba,ABW,2025,NA,NA
Aruba,ABW,2026,NA,NA
Aruba,ABW,2027,NA,NA
Aruba,ABW,2028,NA,NA
Aruba,ABW,2029,NA,NA
Aruba,ABW,2030,NA,NA
Aruba,ABW,2031,NA,NA
Aruba,ABW,2032,NA,NA
Aruba,ABW,2033,NA,NA
Aruba,ABW,2034,NA,NA
Aruba,ABW,2035,NA,NA
Aruba,ABW,2036,NA,NA
Aruba,ABW,2037,NA,NA
Aruba,ABW,2038,NA,NA
Aruba,ABW,2039,NA,NA
Aruba,ABW,2040,NA,NA
Aruba,ABW,2041,NA,NA
Aruba,ABW,2042,NA,NA
Aruba,ABW,2043,NA,NA
Aruba,ABW,2044,NA,NA
Aruba,ABW,2045,NA,NA
Aruba,ABW,2046,NA,NA
Aruba,ABW,2047,NA,NA
Aruba,ABW,2048,NA,NA
Aruba,ABW,2049,NA,NA
Aruba,ABW,2050,NA,NA
Afghanistan,AFG,2020,2360000.005474647,0.02158575051436511
Afghanistan,AFG,2021,2450149.116029003,0.02158575051436511
Afghanistan,AFG,2022,2543741.8122252626,0.02158575051436511
Afghanistan,AFG,2023,2640909.6348185153,0.02158575051436511
Afghanistan,AFG,2024,2741789.1492596334,0.02158575051436511
Afghanistan,AFG,2025,2846522.1376325,0.02158575051436511
Afghanistan,AFG,2026,3026276.606836938,0.02158575051436511
Afghanistan,AFG,2027,3217382.3558265534,0.02158575051436511
Afghanistan,AFG,2028,3420556.2043462563,0.02158575051436511
Afghanistan,AFG,2029,3636560.2384506958,0.02158575051436511
Afghanistan,AFG,2030,3896398.1226577633,0.02158575051436511
Afghanistan,AFG,2031,4155537.1724593933,0.02158575051436511
Afghanistan,AFG,2032,4431910.869496271,0.02158575051436511
Afghanistan,AFG,2033,4726665.444201639,0.02158575051436511
Afghanistan,AFG,2034,5041023.359738543,0.02158575051436511
Afghanistan,AFG,2035,5389536.613185837,0.02158575051436511
Afghanistan,AFG,2036,5754371.0590675045,0.02158575051436511
Afghanistan,AFG,2037,6143902.279914228,0.02158575051436511
Afghanistan,AFG,2038,6559802.077006178,0.02158575051436511
Afghanistan,AFG,2039,7003855.421036301,0.02158575051436511
Afghanistan,AFG,2040,7491195.229799064,0.02158575051436511
Afghanistan,AFG,2041,7992556.85117508,0.02158575051436511
Afghanistan,AFG,2042,8527472.994583694,0.02158575051436511
Afghanistan,AFG,2043,9098189.35634635,0.02158575051436511
Afghanistan,AFG,2044,9707101.930022016,0.02158575051436511
Afghanistan,AFG,2045,10369034.153848726,0.02158575051436511
Afghanistan,AFG,2046,11040760.495965555,0.02158575051436511
Afghanistan,AFG,2047,11756002.586222352,0.02158575051436511
Afghanistan,AFG,2048,12517579.460017106,0.02158575051436511
Afghanistan,AFG,2049,13328492.775382455,0.02158575051436511
Afghanistan,AFG,2050,14202806.876013339,0.02158575051436511
Angola,AGO,2020,7000000,0.026872821201604682
Angola,AGO,2021,7210730.478873423,0.026872821201604682
Angola,AGO,2022,7427804.862707737,0.026872821201604682
Angola,AGO,2023,7651414.130664412,0.026872821201604682
Angola,AGO,2024,7881755.011209241,0.026872821201604682
Angola,AGO,2025,8227283.890593959,0.026872821201604682
Angola,AGO,2026,8562030.866710503,0.026872821201604682
Angola,AGO,2027,8910397.834492495,0.026872821201604682
Angola,AGO,2028,9272938.956295993,0.026872821201604682
Angola,AGO,2029,9650230.941914987,0.026872821201604682
Angola,AGO,2030,10158057.52837229,0.026872821201604682
Angola,AGO,2031,10592444.23535486,0.026872821201604682
Angola,AGO,2032,11045406.52243,0.026872821201604682
Angola,AGO,2033,11517738.732910305,0.026872821201604682
Angola,AGO,2034,12010269.178431047,0.026872821201604682
Angola,AGO,2035,12614332.005686928,0.026872821201604682
Angola,AGO,2036,13194236.966018917,0.026872821201604682
Angola,AGO,2037,13800801.266129348,0.026872821201604682
Angola,AGO,2038,14435250.486839276,0.026872821201604682
Angola,AGO,2039,15098866.55126337,0.026872821201604682
Angola,AGO,2040,15908330.455020268,0.026872821201604682
Angola,AGO,2041,16690507.210502693,0.026872821201604682
Angola,AGO,2042,17511141.834241427,0.026872821201604682
Angola,AGO,2043,18372125.212945208,0.026872821201604682
Angola,AGO,2044,19275441.20396068,0.026872821201604682
Angola,AGO,2045,20368248.067207012,0.026872821201604682
Angola,AGO,2046,21401352.306513987,0.026872821201604682
Angola,AGO,2047,22486856.946962602,0.026872821201604682
Angola,AGO,2048,23627419.80558171,0.026872821201604682
Angola,AGO,2049,24825833.50736353,0.026872821201604682
Angola,AGO,2050,26269243.101604573,0.026872821201604682
Albania,ALB,2020,500000,0.009063162014420987
Albania,ALB,2021,520047.286885259,0.009063162014420987
Albania,ALB,2022,540898.3611934376,0.009063162014420987
Albania,ALB,2023,562585.4504386601,0.009063162014420987
Albania,ALB,2024,585142.0742834931,0.009063162014420987
Albania,ALB,2025,608603.0963470865,0.009063162014420987
Albania,ALB,2026,623667.7100497604,0.009063162014420987
Albania,ALB,2027,639105.2147011872,0.009063162014420987
Albania,ALB,2028,654924.8403860145,0.009063162014420987
Albania,ALB,2029,671136.0456590715,0.009063162014420987
Albania,ALB,2030,693508.4027816722,0.009063162014420987
Albania,ALB,2031,708605.2295223726,0.009063162014420987
