Country,iso3c,RE_2.3,re_consump_2.4,access_elec_2.5,rural_2.5,urban_2.5
Aruba,ABW,14.8,8.67,100,100,100
Afghanistan,AFG,79.48,17.58,97.7,97.0667125932952,99.5
Angola,AGO,73.7,61.02,46.9554443359375,NA,73.5654067993164
Albania,ALB,100,44.58,100,100,100
United Arab Emirates,ARE,4.19,0.92,100,100,100
Argentina,ARG,26.74,9.84,100,100,100
Armenia,ARM,30.54,8.38,100,100,100
Australia,AUS,26.5,10.89,100,100,100
Austria,AUT,74.56,35.77,100,100,100
Azerbaijan,AZE,5.8,1.23,100,100,100
Burundi,BDI,61.3,83.52,9.1,0.934801165055394,60.5
Belgium,BEL,22.62,12.28,100,100,100
Benin,BEN,0.22,46.2,40.9859313964844,17.4474673758129,66.0655899047852
Burkina Faso,BFA,27.37,67.51,18.4672794342041,NA,66.0954055786133
Bangladesh,BGD,1.81,27.96,96.2,95.2119664318479,97.8
Bulgaria,BGR,21.67,21.08,99.7,99.3887142216549,99.8
Bahrain,BHR,0.04,0,100,100,100
"Bahamas, The",BHS,38.03,1.41,100,100,100
Bosnia and Herzegovina,BIH,38.77,37.71,100,100,100
Belarus,BLR,3.37,8.39,100,100,99.9795989990234
Belize,BLZ,92.86,30.2,96.8076248168945,95.5379401388217,98.296630859375
Bolivia,BOL,69.33,16.86,97.2218170166016,90.9025890464327,99.9142227172852
Brazil,BRA,77.37,50.05,99.7027130126953,98.6721959416221,99.8557052612305
Barbados,BRB,7.33,4.57,100,100,100
Brunei Darussalam,BRN,0.03,0.01,100,100,100
Bhutan,BTN,100,88.39,100,100,100
Botswana,BWA,0.24,27.21,71.8291244506836,26.2467196569312,90.5587158203125
Central African Republic,CAF,96.47,90.88,15.4057130813599,1.91861655440193,33.880069732666
Canada,CAN,67.45,23.85,100,100,100
Switzerland,CHE,63.62,26.37,100,100,100
Chile,CHL,48.89,26.73,100,100,100
China,CHN,28.18,14.81,100,100,100
Cote d'Ivoire,CIV,18.72,63.34,69.8783264160156,43.7190406352007,94.3114013671875
Cameroon,CMR,79.27,78.94,64.3118743896484,24.2107214524016,93.8791580200195
"Congo, Rep.",COG,22.4,71.88,48.6791305541992,11.8295938347665,66.1567001342773
Colombia,COL,75.38,31.31,99.7217559814453,98.5020509702548,100
Comoros,COM,0,48.29,85.6353454589844,80.0564793936052,99.0450973510742
Cabo Verde,CPV,18.27,23.42,93.746955871582,92.6763905567659,94.2825927734375
Costa Rica,CRI,99.98,36.43,99.9,99.7319808917068,99.94
Cuba,CUB,5.12,23.93,99.9326400756836,99.7046394406092,100
Cyprus,CYP,15.13,15.02,100,100,100
Czechia,CZE,12.59,16.97,100,100,100
Germany,DEU,39.23,18.6,100,100,100
Djibouti,DJI,35.35,31.91,64.5011520385742,35.8112562634778,72.5639419555664
Denmark,DNK,78.96,39.7,100,100,100
Dominican Republic,DOM,16.96,16.69,100,100,99.9902496337891
Algeria,DZA,0.91,0.15,99.7187728881836,99.1210908229458,99.9316940307617
Ecuador,ECU,81,20.1,98.85,97.3995768906549,99.66
"Egypt, Arab Rep.",EGY,22.4,6.51,100,100,100
Eritrea,ERI,5.01,80.9,51.3922996520996,34.1213426059785,75.8920974731445
Spain,ESP,45.84,19.35,100,100,100
Estonia,EST,39.95,40,100,100,100
Ethiopia,ETH,100,89.52,51.1445960998535,39.4096669643002,93.5001449584961
Finland,FIN,52.93,47.49,100,100,100
Fiji,FJI,60.07,31.79,97.1266403198242,96.9000109964503,97.2958908081055
France,FRA,22.04,16.87,100,100,100
Gabon,GAB,53.95,90.12,91.0628433227539,24.6841732902593,98.3629302978516
United Kingdom,GBR,39.76,13.5,100,100,100
Georgia,GEO,81.22,23.45,100,100,99.953254699707
Ghana,GHA,34.8,40.25,85.4405670166016,73.0797837919943,94.6333999633789
Guinea,GIN,88.13,65.77,44.7454223632813,19.3249951711868,88.2617492675781
"Gambia, The",GMB,22.4,49.74,62.234001159668,30.9950785682693,80.9118499755859
