Country,Category,Flow name,Flow code,Flow unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,Non-metallic minerals,Domestic Extraction,DE,t,672360,647186,700077,982868,1026186,1050528,1215544,1420464,957031,1014455,378754,667675,619123,99168,757542,514690,604015,695294,700002,701328,780187,772087,872027,866527,896027,890227,896340,877540,899040,902260,503964,386332,495898,560265,582965,571698,872164,439398,495803,463752,486972,462604,690327,695852,668263,1177300,3502677,2002817,1240146,1424340,1415199,1466342,1522724,1591083,1652132
Africa,Non-metallic minerals,Domestic Extraction,DE,t,279162914,287929072,309598355,333856268,354422442,360183600,375582030,424733400,436152547,458135746,477137575,515042547,552268466,607272239,618570484,611255075,613359950,619119148,623576161,619372602,626759094,651826452,663921167,668981078,688242090,745774886,783488486,799162543,885308328,893972350,881982290,943222590,1085436096,1127384598,1131306982,1196041107,1313803579,1380992332,1507228908,1466999612,1513959817,1467239559,1783535687,1783591819,1738553784,1780174665,1882430003,2022295051,2182755080,2221828648,2188458397,2318072903,2442703957,2531542984,2680758294
Albania,Non-metallic minerals,Domestic Extraction,DE,t,2424942,2424942,2424942,3461113,3455322,4395711,6078874,6563038,6983621,5699332,6746357,7447995,5644580,5706462,6006170,5948630,6286861,6318347,5565173,5681284,8226062,5416811,1935717,2303085,2988149,2942141,5490182,5658015,6492780,7618907,9926212,11922795,11469540,14702074,15517493,17455680,16850493,14639773,17105948,22468509,14808481,15409777,15449362,11310897,15776154,14550347,21281888,19269284,17499131,17622401,17477043,18565740,19386969,20172163,20987922
Algeria,Non-metallic minerals,Domestic Extraction,DE,t,10678732,11225962,13029910,15743385,20067262,21262255,25502233,28984166,32800003,35371904,36854995,39667842,51646557,57268973,63007797,61861285,83801467,83616509,77974570,81606106,72808865,69568249,71028346,69704280,69009909,74208581,69501538,64315179,66068947,68123217,78245463,79888464,90472199,103376855,103972463,112796661,130428817,151151817,195042385,193192031,181445517,173174146,174743532,160327870,169114742,204590087,203985437,220442185,229799593,237265129,230159801,243899206,252463412,254967751,267228244
Andorra,Non-metallic minerals,Domestic Extraction,DE,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85971,94415,102607,133797,137730,163571,169286,180333,151297,272681,217104,161524,160533,114490,63656,55194,91145,68165,94330,226303,211695,122421,122421,2255071,2396464,2377341,2526056,2638507,2746115,2858004
Angola,Non-metallic minerals,Domestic Extraction,DE,t,12464546,12868631,12768859,12183829,11983156,7697576,2363790,2519170,4599938,5632514,6755172,7050806,6299825,5165150,5937990,5038730,3358261,5579606,10546736,7081839,6343881,9174285,8936105,9417503,11867902,18183466,20047774,26345479,18160057,19480915,21062125,24164023,31019875,32444664,33029618,35423746,44196167,51018047,47299165,83537178,59011655,63440280,174858204,184529023,187324756,163716077,153506846,44647589,73537222,79558266,73037020,77370274,80088776,80871399,84740091
Anguilla,Non-metallic minerals,Domestic Extraction,DE,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9704,0,10,740,75,0,3,139,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,Non-metallic minerals,Domestic Extraction,DE,t,0,0,0,0,0,0,0,133,273,0,0,130060,139050,149040,158031,168021,177011,187001,195992,204982,214972,223962,233953,242943,252933,261923,270914,280904,289894,301601,349318,291431,232545,174659,115772,57869,644035,452852,269221,614,35732,223295,187441,129691,205849,169209,435934,428634,434277,439920,415804,462788,487860,508983,514249
Argentina,Non-metallic minerals,Domestic Extraction,DE,t,83013498,84363625,80564606,75043615,76958267,74158238,76223505,82338097,88890979,96901511,97001344,92409692,74931263,70453282,65693880,62928401,68621589,91673527,83200375,56452579,43491531,45788724,58353375,72653538,81819363,77344168,78645388,92498038,102762247,94565757,81119834,63866116,49456507,66340305,84145352,98240931,101861934,114034195,106473805,108209271,115419836,159051908,152483782,159911391,142677991,143086122,127264250,171286017,162101485,166333900,155424757,180018757,192663834,203399364,213384033
Armenia,Non-metallic minerals,Domestic Extraction,DE,t,,,,,,,,,,,,,,,,,,,,,,,3234022,1624105,1075128,2774889,3373482,2949319,3379280,3118701,14003286,13519369,14480455,15014118,17728169,19771583,19907291,21249040,22190049,18870784,4693488,3843580,3856706,3661349,4190349,4876364,3133447,4565035,5969810,5345900,5304236,5591777,5275781,4831734,5088481
