"Country","Category","Flow name","Flow code","Flow unit","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Afghanistan","Non-metallic minerals","Imports","IMP","t","2550","56022","3222","3600","44523","730","1052","61225","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1094","572032","2635761","2552423","2398787","3704895","2277401","2573669","2066866","0","3733946","3901009","3899545","4037909","4189588","4374705","4538010"
"Africa","Non-metallic minerals","Imports","IMP","t","3884974","3218044","2810436","3633565","5148304","5118761","5874472","7309828","6493233","9797120","6152734","8244586","6078529","8430382","8026767","8305515","6740729","7698793","7066698","5283677","7350493","7340344","7975585","8042057","9046732","9891399","11291972","13005905","12891124","13168585","13383758","12965623","16045373","15977836","16532336","17975502","19282038","20966338","21500769","19809273","25348257","23538810","27050610","28123663","29505024","30321076","34442481","34795409","33597302","34166361","33427538","35385973","36788053","37488159","39390851"
"Albania","Non-metallic minerals","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95453","65602","127048","93806","211669","269878","298828","291637","5868078","609100","553515","383026","557614","612425","415417","421010","362320","340925","293129","346193","354875","230355","181953","182668","181095","196763","209374","221886","235006"
"Algeria","Non-metallic minerals","Imports","IMP","t","398036","395147","0","381225","364410","583492","501858","511822","405844","447132","755213","578183","394125","453670","538301","789229","692086","707144","409137","304625","231711","246748","187762","178943","240924","261302","245949","336628","258414","247107","300396","359192","434222","476089","533174","601076","637854","775437","1011446","1337307","1296775","1541402","1544466","1633028","1702570","1777249","1912174","1796664","1818160","1839680","1783530","1894224","1964727","1985543","2088210"
"Andorra","Non-metallic minerals","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","585390","558454","423978","592200","903073","901832","919446","954422","951648","982114","0","995700","807466","720260","548878","419792","432727","220620","183655","239790","306781","273224","286486","337261","312737","307235","326890","341783","356018","370615"
"Angola","Non-metallic minerals","Imports","IMP","t","88966","82414","71840","88807","62121","0","0","0","0","0","0","0","0","0","0","32171","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","149089","0","554556","200416","199035","266462","362751","423939","444313","241456","338325","94752","100348","97255","103006","106743","107878","113217"
"Anguilla","Non-metallic minerals","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1289","1259","1733","1501","2027","0","531","1442","854","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Antigua and Barbuda","Non-metallic minerals","Imports","IMP","t","279","0","0","326","345","512","0","1084","448","0","0","2731","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16962","8402","0","0","0","0","5539","6444","24534","0","9566","6252","34590","4049","7955","5844","6403","6762","12671","6584","6821","6374","7192","7631","8000","8084"
"Argentina","Non-metallic minerals","Imports","IMP","t","1259867","1576923","1412071","343848","415062","429924","349836","313604","277958","578634","479340","466898","388853","545794","663617","477573","462098","767644","786827","530516","411942","538924","885992","1292531","1783675","2020372","2874178","2848803","2611917","3032044","2654682","2252985","1336851","1924907","2905798","3017550","3638042","4496168","3367204","2222592","3917459","4371628","3350530","3260272","3664014","3048470","4131807","4239294","3087761","2829848","2619265","2992889","3176298","3327930","3468300"
"Armenia","Non-metallic minerals","Imports","IMP","t","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","42472","0","53167","44781","48049","73518","68705","93735","94523","149300","166171","165991","144583","167778","190249","199279","213573","201287","196835","264692","136989","161577","166562","164657","173264","162952","146210","155114"
"Aruba","Non-metallic minerals","Imports","IMP","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1417","1389","21996","14226","0","0","0","0","0","0","0","0","0","0","0","0","0","592247","0","0","0","363005","190861","370713","382703","367143","334520","177814","182881","223003","179452","264507","249562","277258","291911","304193","307068"
"Asia + Pacific","Non-metallic minerals","Imports","IMP","t","21439157","22032033","21805092","27447099","31213108","27654513","21167685","23767006","30082352","39443918","40492248","36252953","34715729","44247360","48365251","54611310","54361894","66278848","78712432","83753584","87704537","90155406","98434293","133945512","109649813","106093954","115801220","130667869","113508696","176629262","281321066","176011086","164959757","132988483","133468558","150945283","158872719","163012404","183167008","203663867","210943735","211805466","229888984","253128523","293237907","265464305","269847043","236361124","308224831","292335259","290505834","304610789","319136148","335590772","351997020"
"Australia","Non-metallic minerals","Imports","IMP","t","3535816","2886286","2650036","4765514","5466005","3920754","2578237","2129731","3483342","4575302","4942004","4313911","3586887","4162384","3459242","3832501","3936189","4043995","4721169","4471476","4127325","2929741","3710695","3731626","4399317","4492073","4760009","5446714","5554414","5179713","5334961","5506712","5836964","5448816","5672237","5890861","5081019","5197546","5887771","4216651","5729115","6202268","6436632","7216804","7640935","7416645","8252281","5395384","5107712","5072939","5061226","5233897","5437749","5574136","5713784"
"Austria","Non-metallic minerals","Imports","IMP","t","1583451","1445390","1753259","1744468","2106771","1766027","1752984","2121467","2044738","2093720","1952212","1754551","1667539","1754874","1802743","1757545","1674118","1735305","2258925","2297756","2252374","2510527","2840289","2601811","2968730","3529694","4178481","4359284","4045129","4246539","4348038","4259619","4509642","4785644","4752352","5278799","5661537","7292911","6150892","5083099","4998245","5302255","5223757","5395655","6514838","6286542","5705562","5204440","5897053","5427350","5340729","5717263","6009520","6294751","6591355"
"Azerbaijan","Non-metallic minerals","Imports","IMP","t","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","192055","184015","203533","152669","217630","209425","232345","278410","371535","380017","430551","446644","618798","424694","456394","541993","580269","623807","574582","544838","496151","523941","454902","571892","563347","593197","556869","498660","528831"
