Country Name,iso3c,year,total_building_stock_m2,BEC (toe/m2),BCE (tCO2e/m2),DBE (tCO2e/m2),Building Energy Consumption (toe),Building Carbon Emissions (tCO2e),Direct Building Emissions (tCO2e)
Aruba,ABW,2020,2447802.9197231834,NA,NA,NA,NA,NA,NA
Aruba,ABW,2021,2580802.8902054965,NA,NA,NA,NA,NA,NA
Aruba,ABW,2022,2721029.337952693,NA,NA,NA,NA,NA,NA
Aruba,ABW,2023,2868874.909470414,NA,NA,NA,NA,NA,NA
Aruba,ABW,2024,3024753.5854874193,NA,NA,NA,NA,NA,NA
Aruba,ABW,2025,3189101.8401384084,NA,NA,NA,NA,NA,NA
Aruba,ABW,2026,3244551.8784132362,NA,NA,NA,NA,NA,NA
Aruba,ABW,2027,3300966.0460570236,NA,NA,NA,NA,NA,NA
Aruba,ABW,2028,3358361.106727092,NA,NA,NA,NA,NA,NA
Aruba,ABW,2029,3416754.1155563844,NA,NA,NA,NA,NA,NA
Aruba,ABW,2030,3476162.4242214537,NA,NA,NA,NA,NA,NA
Aruba,ABW,2031,3540522.4095055833,NA,NA,NA,NA,NA,NA
Aruba,ABW,2032,3606073.9984032023,NA,NA,NA,NA,NA,NA
Aruba,ABW,2033,3672839.253056886,NA,NA,NA,NA,NA,NA
Aruba,ABW,2034,3740840.64408241,NA,NA,NA,NA,NA,NA
Aruba,ABW,2035,3810101.0581314876,NA,NA,NA,NA,NA,NA
Aruba,ABW,2036,3882578.5141391647,NA,NA,NA,NA,NA,NA
Aruba,ABW,2037,3956434.66891341,NA,NA,NA,NA,NA,NA
Aruba,ABW,2038,4031695.748682261,NA,NA,NA,NA,NA,NA
Aruba,ABW,2039,4108388.478560864,NA,NA,NA,NA,NA,NA
Aruba,ABW,2040,4186540.0920415227,NA,NA,NA,NA,NA,NA
Aruba,ABW,2041,4267511.526662892,NA,NA,NA,NA,NA,NA
Aruba,ABW,2042,4350049.021343522,NA,NA,NA,NA,NA,NA
Aruba,ABW,2043,4434182.865087441,NA,NA,NA,NA,NA,NA
Aruba,ABW,2044,4519943.932715134,NA,NA,NA,NA,NA,NA
Aruba,ABW,2045,4607363.696193772,NA,NA,NA,NA,NA,NA
Aruba,ABW,2046,4698951.909368361,NA,NA,NA,NA,NA,NA
Aruba,ABW,2047,4792360.773428282,NA,NA,NA,NA,NA,NA
Aruba,ABW,2048,4887626.480472181,NA,NA,NA,NA,NA,NA
Aruba,ABW,2049,4984785.942049104,NA,NA,NA,NA,NA,NA
Aruba,ABW,2050,5083876.803460208,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2020,18765834.78233831,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2021,19482666.693572804,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2022,20226880.70610597,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2023,20999522.78267995,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2024,21801678.840532925,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2025,22634476.27761195,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2026,24063816.388905283,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2027,25583417.619064122,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2028,27198979.84981325,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2029,28916562.903592624,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2030,30742609.273383096,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2031,32787218.2442172,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2032,34967808.70596642,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2033,37293424.425011165,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2034,39773710.64451951,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2035,42418954.08706468,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2036,45290424.62710544,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2037,48356273.91220903,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2038,51629660.04238219,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2039,55124631.83022332,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2040,58856189.0960199,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2041,62795244.67900802,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2042,66997928.592749186,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2043,71481884.63416667,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2044,76265937.44280778,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2045,81370171.53084578,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2046,86641490.62082542,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2047,92254296.08628668,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2048,98230710.08349611,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2049,104594287.8853335,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2050,111370110.72139306,NA,NA,NA,NA,NA,NA
Angola,AGO,2020,82145036.54481328,0.007742403275370601,0.08521513038929907,0.04260756519464953,636000,7000000,3500000
Angola,AGO,2021,84617959.8145509,0.007742403275370601,0.08521513038929907,0.04260756519464953,655146.3692233568,7210730.478873424,3605365.239436712
Angola,AGO,2022,87165328.8421241,0.007742403275370601,0.08521513038929907,0.04260756519464953,674869.1275260171,7427804.862707736,3713902.431353868
Angola,AGO,2023,89789384.76898983,0.007742403275370601,0.08521513038929907,0.04260756519464953,695185.626728938,7651414.130664412,3825707.065332206
Angola,AGO,2024,92492436.20472118,0.007742403275370601,0.08521513038929907,0.04260756519464953,716113.7410184396,7881755.011209241,3940877.5056046206
Angola,AGO,2025,95276861.2580913,0.007742403275370601,0.08521513038929907,0.04260756519464953,737671.8826716763,8119030.155191407,4059515.0775957033
Angola,AGO,2026,99153431.17158179,0.007742403275370601,0.08521513038929907,0.04260756519464953,767685.8502670883,8449372.565832732,4224686.282916366
Angola,AGO,2027,103187728.72319707,0.007742403275370601,0.08521513038929907,0.04260756519464953,798921.008844534,8793155.757722858,4396577.878861429
Angola,AGO,2028,107386171.44399768,0.007742403275370601,0.08521513038929907,0.04260756519464953,831427.0455175166,9150926.601607887,4575463.300803944
Angola,AGO,2029,111755437.97784229,0.007742403275370601,0.08521513038929907,0.04260756519464953,865255.6690401221,9523254.218995055,4761627.109497528
Angola,AGO,2030,116302478.7053942,0.007742403275370601,0.08521513038929907,0.04260756519464953,900460.6920623635,9910730.887478843,4955365.443739422
Angola,AGO,2031,121275895.18759461,0.007742403275370601,0.08521513038929907,0.04260756519464953,938966.8881239342,10334541.221489841,5167270.610744921
Angola,AGO,2032,126461988.74925852,0.007742403275370601,0.08521513038929907,0.04260756519464953,979119.7159021392,10776474.860558135,5388237.430279068
Angola,AGO,2033,131869854.05203159,0.007742403275370601,0.08521513038929907,0.04260756519464953,1020989.5899350925,11237306.80746171,5618653.403730855
Angola,AGO,2034,137508974.67051008,0.007742403275370601,0.08521513038929907,0.04260756519464953,1064649.9358818103,11717845.206246339,5858922.603123169
Angola,AGO,2035,143389239.7232365,0.007742403275370601,0.08521513038929907,0.04260756519464953,1110177.3192860866,12218932.75943806,6109466.37971903
Angola,AGO,2036,149981117.2270354,0.007742403275370601,0.08521513038929907,0.04260756519464953,1161214.2932623408,12780660.46043457,6390330.230217285
Angola,AGO,2037,156876035.94305465,0.007742403275370601,0.08521513038929907,0.04260756519464953,1214597.5345126623,13368211.857843768,6684105.928921884
Angola,AGO,2038,164087927.25522107,0.007742403275370601,0.08521513038929907,0.04260756519464953,1270434.9054295965,13982774.116363483,6991387.058181741
Angola,AGO,2039,171631362.99981683,0.007742403275370601,0.08521513038929907,0.04260756519464953,1328839.2270461023,14625588.97692251,7312794.488461255
Angola,AGO,2040,179521584.90829876,0.007742403275370601,0.08521513038929907,0.04260756519464953,1389928.5069937338,15297955.265654301,7648977.632827151
Angola,AGO,2041,188348256.64608148,0.007742403275370601,0.08521513038929907,0.04260756519464953,1458268.1591669638,16050121.248692997,8025060.624346498
Angola,AGO,2042,197608915.94032645,0.007742403275370601,0.08521513038929907,0.04260756519464953,1529967.9180188172,16839269.537942957,8419634.768971479
Angola,AGO,2043,207324900.98109648,0.007742403275370601,0.08521513038929907,0.04260756519464953,1605192.9924219267,17667218.470052656,8833609.235026328
Angola,AGO,2044,217518599.10916963,0.007742403275370601,0.08521513038929907,0.04260756519464953,1684116.7141968596,18535875.78518556,9267937.89259278
Angola,AGO,2045,228213498.4004149,0.007742403275370601,0.08521513038929907,0.04260756519464953,1766920.9374991558,19447243.022789452,9723621.511394726
Angola,AGO,2046,239788786.16628483,0.007742403275370601,0.08521513038929907,0.04260756519464953,1856541.4834109843,20433632.679051712,10216816.339525856
Angola,AGO,2047,251951187.6997532,0.007742403275370601,0.08521513038929907,0.04260756519464953,1950707.700880082,21470053.31157323,10735026.655786615
Angola,AGO,2048,264730482.1806622,0.007742403275370601,0.08521513038929907,0.04260756519464953,2049650.1523259976,22559042.557047144,11279521.278523572
Angola,AGO,2049,278157959.2278879,0.007742403275370601,0.08521513038929907,0.04260756519464953,2153611.0945964013,23703266.764425803,11851633.382212901
Angola,AGO,2050,292266495.5107884,0.007742403275370601,0.08521513038929907,0.04260756519464953,2262845.072123815,24905527.52337532,12452763.76168766
Albania,ALB,2020,23404768.863636363,0.0029951160982800095,0.021363167605420896,0.021363167605420896,70100,500000,500000
Albania,ALB,2021,24343173.095421348,0.0029951160982800095,0.021363167605420896,0.021363167605420896,72910.62962131329,520047.28688525886,520047.28688525886
Albania,ALB,2022,25319202.244904205,0.0029951160982800095,0.021363167605420896,0.021363167605420896,75833.95023931994,540898.3611934376,540898.3611934376
Albania,ALB,2023,26334364.86712318,0.0029951160982800095,0.021363167605420896,0.021363167605420896,78874.48015150013,562585.4504386601,562585.4504386601
Albania,ALB,2024,27390230.00198779,0.0029951160982800095,0.021363167605420896,0.021363167605420896,82036.91881454572,585142.0742834931,585142.0742834931
Albania,ALB,2025,28488429.599393945,0.0029951160982800095,0.021363167605420896,0.021363167605420896,85326.15410786153,608603.0963470865,608603.0963470865
Albania,ALB,2026,29193597.202856045,0.0029951160982800095,0.021363167605420896,0.021363167605420896,87438.21294897639,623667.7100497604,623667.7100497604
Albania,ALB,2027,29916219.659251958,0.0029951160982800095,0.021363167605420896,0.021363167605420896,89602.55110110644,639105.2147011872,639105.2147011872
Albania,ALB,2028,30656729.02457721,0.0029951160982800095,0.021363167605420896,0.021363167605420896,91820.46262211922,654924.8403860144,654924.8403860144
Albania,ALB,2029,31415568.049410935,0.0029951160982800095,0.021363167605420896,0.021363167605420896,94093.27360140182,671136.0456590714,671136.0456590714
Albania,ALB,2030,32193190.443636365,0.0029951160982800095,0.021363167605420896,0.021363167605420896,96422.34295272944,687748.523200638,687748.523200638
Albania,ALB,2031,32893996.686803047,0.0029951160982800095,0.021363167605420896,0.021363167605420896,98521.3390134131,702719.9644323331,702719.9644323331
Albania,ALB,2032,33610058.621738486,0.0029951160982800095,0.021363167605420896,0.021363167605420896,100666.02764210377,718017.3155642209,718017.3155642209
Albania,ALB,2033,34341708.34612821,0.0029951160982800095,0.021363167605420896,0.021363167605420896,102857.40350992556,733647.6712548186,733647.6712548186
Albania,ALB,2034,35089285.187016726,0.0029951160982800095,0.021363167605420896,0.021363167605420896,105096.48294077207,749618.2806046511,749618.2806046511
Albania,ALB,2035,35853135.85818183,0.0029951160982800095,0.021363167605420896,0.021363167605420896,107384.30438266066,765936.5505182643,765936.5505182643
Albania,ALB,2036,36591953.120170616,0.0029951160982800095,0.021363167605420896,0.021363167605420896,109597.14785773044,781720.0275159089,781720.0275159089
Albania,ALB,2037,37345995.01826297,0.0029951160982800095,0.021363167605420896,0.021363167605420896,111855.59088548445,797828.7509663656,797828.7509663656
Albania,ALB,2038,38115575.2830069,0.0029951160982800095,0.021363167605420896,0.021363167605420896,114160.57312533759,814269.4231479143,814269.4231479143
Albania,ALB,2039,38901014.10992314,0.0029951160982800095,0.021363167605420896,0.021363167605420896,116513.05360004859,831048.8844511312,831048.8844511312
Albania,ALB,2040,39702638.29272727,0.0029951160982800095,0.021363167605420896,0.021363167605420896,118914.01109473579,848174.1162249343,848174.1162249343
Albania,ALB,2041,40417243.62233259,0.0029951160982800095,0.021363167605420896,0.021363167605420896,121054.33702135338,863440.3496530199,863440.3496530199
Albania,ALB,2042,41144711.08904162,0.0029951160982800095,0.021363167605420896,0.021363167605420896,123233.18654186858,878981.3590718159,878981.3590718159
Albania,ALB,2043,41885272.19766411,0.0029951160982800095,0.021363167605420896,0.021363167605420896,125451.2530400639,894802.0901573745,894802.0901573745
Albania,ALB,2044,42639162.61985057,0.0029951160982800095,0.021363167605420896,0.021363167605420896,127709.24237989367,910907.5776026653,910907.5776026653
Albania,ALB,2045,43406622.26909091,0.0029951160982800095,0.021363167605420896,0.021363167605420896,130007.87313011374,927302.9467197843,927302.9467197843
Albania,ALB,2046,44067100.62050597,0.0029951160982800095,0.021363167605420896,0.021363167605420896,131986.08247300243,941412.8564408163,941412.8564408163
