Classification Name,Classification Code,Time,Time Code,Country Name,Country Code, ,1000000:GROSS DOMESTIC PRODUCT [1000000],9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE [9100000],9020000:ACTUAL INDIVIDUAL CONSUMPTION [9020000],1101000:FOOD AND NON-ALCOHOLIC BEVERAGES [1101000],1101100:FOOD [1101100],1101110:Bread and cereals [1101110],1101120:Meat [1101120],1101130:Fish and seafood [1101130],"1101140:Milk, cheese and eggs [1101140]",1101150:Oils and fats [1101150],1101160:Fruit [1101160],1101170:Vegetables [1101170],"1101180:Sugar, jam, honey, chocolate and confectionery [1101180]",1101190:Food products n.e.c. (Class) [1101190],1101200:NON-ALCOHOLIC BEVERAGES [1101200],"1102000:ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS [1102000]",1102100:ALCOHOLIC BEVERAGES [1102100],1102200:TOBACCO [1102200],1103000:CLOTHING AND FOOTWEAR [1103000],"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS [9060000]","1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE [1105000]",9080000:ACTUAL HEALTH [9080000],1107000:TRANSPORT [1107000],1107100:PURCHASE OF VEHICLES [1107100],1107300:TRANSPORT SERVICES [1107300],1108000:COMMUNICATION [1108000],9110000:ACTUAL RECREATION AND CULTURE [9110000],9120000:ACTUAL EDUCATION [9120000],1111000:RESTAURANTS AND HOTELS [1111000],9140000:ACTUAL MISCELLANEOUS GOODS AND SERVICES [9140000],1113000:NET PURCHASES ABROAD [1113000],9260000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS WITHOUT HOUSING [9260000],9270000:GENERAL GOVERNMENT FINAL CONSUMPTION EXPENDITURE [9270000],1300000:INDIVIDUAL CONSUMPTION EXPENDITURE BY GOVERNMENT [1300000],1400000:COLLECTIVE CONSUMPTION EXPENDITURE BY GOVERNMENT [1400000],1500000:GROSS CAPITAL FORMATION [1500000],1501000:GROSS FIXED CAPITAL FORMATION [1501000],1501100:MACHINERY AND EQUIPMENT [1501100],1501200:CONSTRUCTION [1501200],1501300:OTHER PRODUCTS [1501300],1502000:CHANGES IN INVENTORIES [1502000],1503000:ACQUISITIONS LESS DISPOSALS OF VALUABLES (Category) [1503000],1600000:BALANCE OF EXPORTS AND IMPORTS [1600000],9250000:DOMESTIC ABSORPTION [9250000],SP.EXCHG.RATE.ICP:Exchange Rate Value [SP.EXCHG.RATE.ICP],SP.POP.TOTL.ICP:Population [SP.POP.TOTL.ICP],SP.POP.TOTL.ICP.ZS:Population shares (World=100) [SP.POP.TOTL.ICP.ZS]
,,,,,,Scale (Precision),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000),Unit (0.000)
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,East Asia & Pacific (ICP),EAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Australia,AUS,,1.466,1.529,1.469,1.606,1.618,1.763,1.461,1.445,1.716,1.533,1.402,1.624,1.704,1.828,1.522,2.579,2.196,3.139,1.266,1.97,1.459,1.188,1.568,1.2,1.986,0.896,1.438,0.983,1.651,1.447,1.305,1.457,1.26,1.044,1.446,1.535,1.534,1.58,1.313,1.554,1.572,1.305,1.305,1.48,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Brunei Darussalam,BRN,,0.647,0.697,0.648,1.162,1.153,0.987,1.086,0.765,1.526,1.431,1.45,1.378,1.345,1.052,1.267,0.999,1.841,0.508,1.151,0.319,0.752,0.528,1.28,2.802,0.793,1.206,0.882,0.311,0.55,0.614,1.384,0.755,0.384,0.347,0.421,0.757,0.754,1.899,0.327,1.485,1.05,1.383,1.391,0.652,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Cambodia,KHM,,1428.354,1488.798,1372.85,2598.604,2584.867,2235.297,2891.11,1933.535,3792.457,4344.869,2603.508,2169.856,2881.301,2230.136,2878.036,1519.544,4211.444,559.06,1653.741,1134.679,2084.172,698.344,2870.593,5074.993,1800.088,1189.068,1640.266,389.805,1312.523,1536.38,4058.611,1635.167,1021.905,686.997,1417.559,1711.933,1699.937,4844.072,668.449,3614.564,2425.428,4056.582,4079.823,1432.774,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,China,CHN,,4.184,4.147,4.046,6.328,6.34,6.407,5.302,5.324,9.183,9.391,7.109,4.067,8.387,9.202,6.271,6.222,9.351,3.726,7.399,2.866,6.425,2.321,4.773,5.527,3.795,2.975,3.971,2.909,3.982,4.781,6.772,4.475,3.699,2.959,4.385,4.638,4.612,9.332,2.312,7.064,6.495,6.769,6.808,4.219,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Fiji,FJI,,0.939,0.986,0.923,1.599,1.577,1.446,1.652,1.212,2.751,1.943,1.707,1.183,1.571,1.981,2.013,2.163,4.067,1.238,1.148,0.463,1.558,0.564,1.455,2.498,0.929,0.563,0.944,0.554,1.023,1.044,2.071,1.143,0.705,0.559,0.834,1.028,1.017,2.46,0.473,1.844,1.569,2.07,2.082,0.94,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,"Hong Kong SAR, China",HKG,,6.011,6.242,6.026,9.473,9.542,8.073,8.515,8.754,13.271,12.641,9.702,8.153,11.853,10.841,8.466,8.156,9.758,6.9,5.75,5.163,7.348,5.995,9.106,7.878,6.346,4.359,4.633,5.031,5.408,5.633,7.809,6.536,5.56,4.898,6.061,6.236,6.219,9.302,4.075,7.122,8.561,7.805,7.85,6.065,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Indonesia,IDN,,4695.659,5089.686,4705.548,9751.854,9746.272,9764.562,8364.94,6456.32,12975.654,16665.471,10572.401,9485.998,12195.61,9092.037,9849.35,7823.892,22356.793,3506.365,6155.127,2332.269,7348.427,2538.308,8256.104,14945.602,5315.693,4683.493,5951.16,2030.877,4259.829,5213.996,13407.399,5809.267,3062.762,2408.734,3629.295,5203.395,5164.131,15373.318,2030.794,11807.599,7876.684,13400.696,13477.475,4702.844,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Japan,JPN,,105.379,113.023,105.886,164.962,170.365,171.399,177.269,110.1,177.152,180.918,209.426,194.209,182.046,162.3,120.547,89.803,113.276,68.895,108.815,108.003,130.046,76.756,142.281,109.746,179.394,97.542,126.729,57.41,113.345,104.564,112.166,116.322,79.983,65.508,93.691,112.578,112.342,120.459,105.706,114.369,125.912,112.166,112.166,106.194,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,"Korea, Rep.",KOR,,871.696,974.206,902.695,1836.256,1851.323,1676.397,2781.634,1032.236,2341.663,1982.984,2064.666,1781.243,1492.98,1547.057,1692.314,1022.954,1507.963,729.11,1649.998,642.972,1095.346,496.151,1163.216,1146.068,873.35,555.186,1069.859,656.24,1291.558,854.983,1130.425,1053.363,663.553,531.353,802.198,834.284,827.318,1458.532,520.161,989.874,1149.488,1130.425,1130.424,877.332,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Lao PDR,LAO,,2789.109,3133.812,2785.475,5634.382,5548.538,5077.951,5381.038,4321.55,8079.018,8461.644,5142.368,4485.513,6130.466,5617.107,6392.764,4051.527,9259.396,1498.387,2987.733,1858.712,4215.199,1037.356,6473.827,9836.974,5320.825,3109.254,3432.677,540.671,3804.662,3123.368,8368.083,3458.321,1317.505,851.522,1683.121,3537.733,3517.22,10141.302,1346.192,7664.01,4933.932,8363.899,8411.819,2804.389,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Malaysia,MYS,,1.655,1.727,1.631,2.666,2.668,2.398,2.359,2.163,3.6,3.808,2.758,2.584,2.735,2.653,2.622,4.841,7.328,2.883,1.896,0.982,2.01,1.236,2.592,4.117,1.91,1.817,1.858,1.033,1.323,1.764,4.309,1.924,1.286,1.062,1.47,1.802,1.791,4.609,0.77,3.487,2.565,4.307,4.331,1.652,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Mongolia,MNG,,791.436,873.542,757.817,1399.682,1375.914,1433.16,887.809,1829.347,2048.036,2324.554,2254.051,1849.963,1955.609,1607.182,1725.969,1004.267,2633.086,390.053,1054.558,641.129,1471.843,339.099,1368.6,1967.158,957.192,944.031,934.118,232.68,881.779,799.49,2444.614,940.284,340.394,229.785,455.637,1035.229,1038.379,2719.577,436.461,2058.62,1353.341,2443.392,2457.391,790.306,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Myanmar,MMR,,366.713,389.843,356.688,733.57,730.582,723.572,725.466,517.208,1065.629,1131.614,677.9,568.301,1056.49,689.704,810.665,473.982,1331.227,196.344,446.791,177.864,535.723,168.043,759.403,1463.624,459.618,487.845,435.402,121.079,392.049,407.273,1363.056,442.524,236.34,158.007,299.004,445.088,442.034,1268,171.757,926.567,630.493,1362.374,1370.18,372.132,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,New Zealand,NZL,,1.453,1.573,1.432,1.871,1.861,1.67,1.832,1.404,2.068,1.613,1.576,1.817,1.83,2.384,1.968,2.655,1.782,4.748,1.322,1.956,1.656,0.932,1.774,1.514,1.69,1.174,1.478,0.631,1.554,1.391,1.407,1.498,1.011,0.771,1.298,1.656,1.655,1.567,1.637,1.553,1.788,1.407,1.407,1.469,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Philippines,PHL,,19.385,19.393,18.409,31.696,32.196,32.369,26.796,19.977,49.551,58.389,33.605,30.5,40.393,28.192,26.166,20.606,39.552,10.337,28.055,12.52,24.444,13.216,32.362,45.724,21.384,21.793,19.022,7.974,19.149,20.193,50.504,21.858,16.007,13.328,18.201,24.003,23.916,59.999,10.538,45.173,32.244,50.478,50.768,19.506,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Singapore,SGP,,0.886,1.08,1.03,1.386,1.42,1.312,1.422,1.289,1.668,1.757,1.296,1.336,1.818,1.143,1.092,2.607,3.055,1.939,0.991,0.999,1.349,1.051,1.979,4.351,1.151,0.897,0.698,0.667,0.761,1.009,1.384,1.132,0.735,0.736,0.757,0.914,0.902,1.948,0.49,1.39,1.413,1.383,1.391,0.951,,,
