ISO3v10,Country,UrbAmt2000,UrbAmt2010,UrbAmt2020,UrbAmt2030,UrbAmt2040,UrbAmt2050,UrbAmt2060,UrbAmt2070,UrbAmt2080,UrbAmt2090,UrbAmt2100
ABW,Aruba,30.05828082,35.59466503,42.09747687,48.69843001,55.75577831,63.2607388,71.3083626,80.01416416,89.51539953,99.97348343,111.4867722
AFG,Afghanistan,724.1323156,964.7318719,1341.393518,1805.125402,2352.187899,2963.536646,3613.504793,4278.717333,4938.078201,5666.909522,6470.731753
AGO,Angola,1212.932261,1513.836154,1756.365926,2012.829745,2290.956694,2574.758127,2862.563701,3163.796009,3488.922537,3845.967962,4240.804776
AIA,Anguilla,0.924514612,0.984436594,1.042120391,1.109595741,1.191870898,1.287454917,1.390554411,1.505599018,1.631618807,1.768908056,1.913347401
ALB,Albania,421.9800241,508.1618999,592.6520013,685.9394791,785.6886042,892.8878407,1009.172528,1136.246347,1275.924623,1430.110257,1600.279773
AND,Andorra,8.280701713,9.290841371,9.913306464,10.57083324,11.33906237,12.21142473,13.1835068,14.24306012,15.40079377,16.65661343,18.02248966
ANT,Netherland Antilles,40.00709076,43.48461524,45.97638056,48.94602066,52.54507479,56.63514677,61.18840579,66.15401221,71.55964312,77.43216671,83.79629258
ARE,United Arab Emirates,266.1025334,294.5197578,321.9297451,352.5209689,386.2536424,423.3844328,463.5859965,506.9152312,553.9666889,605.1064588,660.7089973
ARG,Argentina,4815.775612,5275.903181,5722.742944,6202.209388,6723.598098,7291.424676,7905.501601,8570.340381,9291.938524,10073.71436,10920.95195
ARM,Armenia,460.8857837,506.8074474,574.5680775,650.7102109,733.5755334,824.0684859,922.4343279,1028.155553,1142.584676,1265.741199,1398.17619
ASM,American Samoa,1.29038294,1.410131695,1.502535402,1.60115111,1.719070817,1.852911235,2.001697659,2.163906287,2.341687043,2.533457353,2.740996603
ATG,Antigua and Barbuda,8.514260713,10.69086867,13.55795572,17.34098434,22.37822335,28.92982928,37.41025555,48.23789163,62.18831385,80.11944515,103.1293813
AUS,Australia,9836.132474,10822.56355,11829.06888,12922.01819,14110.70458,15392.25448,16773.28187,18256.70478,19861.98462,21603.33117,23489.85583
