iso3c,year,Total_Access,Urban_Access,Rural_Access,Country Name,total_building_stock_m2,Building Energy Consumption (toe),BEC (toe/m2),Building Carbon Emissions (tCO2e),BCE (tCO2e/m2),Direct Building Emissions (tCO2e),DBE (tCO2e/m2)
AFG,2020,33.8,84.2,16.6,Afghanistan,18765834.78233831,NA,NA,NA,NA,NA,NA
AFG,2021,34.17382613,85.11278935,16.79794417,Afghanistan,19482666.693572804,NA,NA,NA,NA,NA,NA
AFG,2022,34.55178676,86.035474,16.9982487,Afghanistan,20226880.70610597,NA,NA,NA,NA,NA,NA
AFG,2023,34.93392761,86.96816122,17.20094173,Afghanistan,20999522.78267995,NA,NA,NA,NA,NA,NA
AFG,2024,35.32029491,87.910959449999993,17.40605174,Afghanistan,21801678.840532925,NA,NA,NA,NA,NA,NA
AFG,2025,35.71093542,88.86397831,17.61360755,Afghanistan,22634476.27761195,NA,NA,NA,NA,NA,NA
AFG,2026,36.10589639,89.82732858,17.82363833,Afghanistan,24063816.388905283,NA,NA,NA,NA,NA,NA
AFG,2027,36.50522561,90.80112227,18.0361736,Afghanistan,25583417.619064122,NA,NA,NA,NA,NA,NA
AFG,2028,36.90897138,91.78547259,18.2512432,Afghanistan,27198979.84981325,NA,NA,NA,NA,NA,NA
AFG,2029,37.31718256,92.78049399,18.46887737,Afghanistan,28916562.903592624,NA,NA,NA,NA,NA,NA
AFG,2030,37.72990854,93.78630214,18.68910669,Afghanistan,30742609.273383096,NA,NA,NA,NA,NA,NA
AFG,2031,38.14719924,94.80301399,18.9119621,Afghanistan,32787218.2442172,NA,NA,NA,NA,NA,NA
AFG,2032,38.56910515,95.83074773,19.13747491,Afghanistan,34967808.70596642,NA,NA,NA,NA,NA,NA
AFG,2033,38.99567732,96.86962286,19.36567681,Afghanistan,37293424.425011165,NA,NA,NA,NA,NA,NA
AFG,2034,39.42696736,97.91976015,19.59659988,Afghanistan,39773710.64451951,NA,NA,NA,NA,NA,NA
AFG,2035,39.86302743,98.9812817,19.83027655,Afghanistan,42418954.08706468,NA,NA,NA,NA,NA,NA
AFG,2036,40.30391031,100,20.06673966,Afghanistan,45290424.62710544,NA,NA,NA,NA,NA,NA
AFG,2037,40.74966933,100,20.30602245,Afghanistan,48356273.91220903,NA,NA,NA,NA,NA,NA
AFG,2038,41.20035842,100,20.54815852,Afghanistan,51629660.04238219,NA,NA,NA,NA,NA,NA
AFG,2039,41.6560321,100,20.79318191,Afghanistan,55124631.83022332,NA,NA,NA,NA,NA,NA
AFG,2040,42.11674551,100,21.04112704,Afghanistan,58856189.0960199,NA,NA,NA,NA,NA,NA
AFG,2041,42.58255439,100,21.29202875,Afghanistan,62795244.67900802,NA,NA,NA,NA,NA,NA
AFG,2042,43.05351509,100,21.54592231,Afghanistan,66997928.592749186,NA,NA,NA,NA,NA,NA
AFG,2043,43.52968458,100,21.80284338,Afghanistan,71481884.63416667,NA,NA,NA,NA,NA,NA
AFG,2044,44.01112048,100,22.06282806,Afghanistan,76265937.44280778,NA,NA,NA,NA,NA,NA
AFG,2045,44.49788104,100,22.3259129,Afghanistan,81370171.53084578,NA,NA,NA,NA,NA,NA
AFG,2046,44.99002514,100,22.59213485,Afghanistan,86641490.62082542,NA,NA,NA,NA,NA,NA
AFG,2047,45.48761233,100,22.86153132,Afghanistan,92254296.08628668,NA,NA,NA,NA,NA,NA
AFG,2048,45.99070281,100,23.13414017,Afghanistan,98230710.08349611,NA,NA,NA,NA,NA,NA
AFG,2049,46.49935744,100,23.4099997,Afghanistan,104594287.8853335,NA,NA,NA,NA,NA,NA
AFG,2050,47.01363776,100,23.68914868,Afghanistan,111370110.72139306,NA,NA,NA,NA,NA,NA
AGO,2020,49.7,76.7,8.2,Angola,82145036.54481328,636000,0.007742403275370601,7000000,0.08521513038929907,3500000,0.04260756519464953
AGO,2021,50.20241774,77.46445792,8.280916007,Angola,84617959.8145509,636000,0.00751613488902191,7000000,0.08272475506785121,3500000,0.041362377533925604
AGO,2022,50.70991443,78.23653508,8.362630477,Angola,87165328.8421241,636000,0.007296479098380253,7000000,0.08030715988783298,3500000,0.04015357994391649
AGO,2023,51.22254141,79.01630743,8.445151289,Angola,89789384.76898983,636000,0.007083242653196712,7000000,0.07796021788109589,3500000,0.038980108940547945
AGO,2024,51.74035053,79.80385166,8.528486401,Angola,92492436.20472118,636000,0.006876237950877285,7000000,0.0756818642392154,3500000,0.0378409321196077
AGO,2025,52.2633942,80.59924522,8.612643848,Angola,95276861.2580913,636000,0.00667528287143263,7000000,0.07347009449690002,3500000,0.03673504724845001
AGO,2026,52.79172531,81.40256636,8.697631743,Angola,99153431.17158179,636000,0.006414301476863899,7000000,0.0705976577642253,3500000,0.03529882888211265
AGO,2027,53.32539733,82.21389409,8.783458283,Angola,103187728.72319707,636000,0.006163523588217368,7000000,0.06783752376968802,3500000,0.03391876188484401
AGO,2028,53.86446425,83.0333082,8.870131743,Angola,107386171.44399768,636000,0.0059225502822928796,7000000,0.06518530184913546,3500000,0.03259265092456773
AGO,2029,54.4089806,83.8608893,8.957660479,Angola,111755437.97784229,636000,0.005690998232462742,7000000,0.06263677299880376,3500000,0.03131838649940188
AGO,2030,54.95900147,84.69671878,9.046052932,Angola,116302478.7053942,636000,0.005468499098897553,7000000,0.06018788316396678,3500000,0.03009394158198339
AGO,2031,55.5145825,85.54087885,9.135317625,Angola,121275895.18759461,636000,0.0052442408197953,7000000,0.05771963166441368,3500000,0.02885981583220684
AGO,2032,56.07577991,86.39345254,9.225463164,Angola,126461988.74925852,636000,0.005029179173047989,7000000,0.05535260096122,3500000,0.02767630048061
AGO,2033,56.64265047,87.25452372,9.316498242,Angola,131869854.05203159,636000,0.004822937012951079,7000000,0.053082640079650245,3500000,0.026541320039825123
AGO,2034,57.21525153,88.12417707,9.408431636,Angola,137508974.67051008,636000,0.00462515266020957,7000000,0.05090576827274683,3500000,0.025452884136373415
AGO,2035,57.79364101,89.00249812,9.501272211,Angola,143389239.7232365,636000,0.00443547926767433,7000000,0.04881816804044074,3500000,0.02440908402022037
AGO,2036,58.37787744,89.88957328,9.595028919,Angola,149981117.2270354,636000,0.004240533820249176,7000000,0.046672542046767664,3500000,0.023336271023383832
AGO,2037,58.96801993,90.78548979,9.6897108,Angola,156876035.94305465,636000,0.004054156494819039,7000000,0.04462121928259949,3500000,0.022310609641299745
AGO,2038,59.56412816,91.69033577,9.785326983,Angola,164087927.25522107,636000,0.003875970710573793,7000000,0.042660054990592056,3500000,0.021330027495296028
AGO,2039,60.16626247,92.60420023,9.881886688,Angola,171631362.99981683,636000,0.003705616437950672,7000000,0.040785086581218086,3500000,0.020392543290609043
AGO,2040,60.77448375,93.52717303,9.979399226,Angola,179521584.90829876,636000,0.0035427494711840614,7000000,0.03899252562623967,3500000,0.019496262813119836
AGO,2041,61.38885354,94.45934498,10.077874,Angola,188348256.64608148,636000,0.0033767235828207585,7000000,0.03716519666626621,3500000,0.018582598333133107
AGO,2042,62.00943401,95.40080775,10.1773205,Angola,197608915.94032645,636000,0.003218478260323325,7000000,0.03542350286519383,3500000,0.017711751432596914
AGO,2043,62.63628793,96.35165394,10.27774832,Angola,207324900.98109648,636000,0.003067648878597508,7000000,0.03376343105374616,3500000,0.01688171552687308
AGO,2044,63.26947872,97.31197709,10.37916715,Angola,217518599.10916963,636000,0.0029238879001827344,7000000,0.0321811561340867,3500000,0.01609057806704335
AGO,2045,63.90907045,98.28187163,10.48158675,Angola,228213498.4004149,636000,0.0027868640744645964,7000000,0.030673032266119775,3500000,0.015336516133059887
AGO,2046,64.55512781,99.26143298,10.58501701,Angola,239788786.16628483,636000,0.002652334206983962,7000000,0.02919235762403732,3500000,0.01459617881201866
AGO,2047,65.20771617,100,10.6894679,Angola,251951187.6997532,636000,0.002524298479425755,7000000,0.027783159364748875,3500000,0.013891579682374438
AGO,2048,65.86690155,100,10.79494949,Angola,264730482.1806622,636000,0.002402443401156839,7000000,0.02644198711965074,3500000,0.01322099355982537
AGO,2049,66.53275065,100,10.90147196,Angola,278157959.2278879,636000,0.0022864706146299447,7000000,0.0251655570792604,3500000,0.0125827785396302
AGO,2050,67.20533081,100,11.00904556,Angola,292266495.5107884,636000,0.0021760961648665043,7000000,0.023950743952933225,3500000,0.011975371976466613
ALB,2020,82.7,93.5,66.4,Albania,23404768.863636363,70100,0.0029951160982800095,500000,0.021363167605420896,500000,0.021363167605420896
ALB,2021,83.547865,94.44561158,67.11044679,Albania,24343173.095421348,70100,0.0028796574598233026,500000,0.020539639513718278,500000,0.020539639513718278
ALB,2022,84.40442257,95.40078659,67.82849501,Albania,25319202.244904205,70100,0.002768649632873345,500000,0.01974785758112229,500000,0.01974785758112229
ALB,2023,85.26976182,96.36562176,68.55422598,Albania,26334364.86712318,70100,0.0026619210432341014,500000,0.01898659802592084,500000,0.01898659802592084
ALB,2024,86.14397278,97.34021478,69.28772191,Albania,27390230.00198779,70100,0.002559306730717947,500000,0.018254684241925445,500000,0.018254684241925445
ALB,2025,87.02714642,98.32466434,70.02906588,Albania,28488429.599393945,70100,0.0024606480941824637,500000,0.01755098497990345,500000,0.01755098497990345
ALB,2026,87.91937461,99.31907012,70.77834186,Albania,29193597.202856045,70100,0.002401211454446663,500000,0.017127043184355657,500000,0.017127043184355657
ALB,2027,88.82075019,100,71.53563472,Albania,29916219.659251958,70100,0.0023432104991353985,500000,0.016713341648611973,500000,0.016713341648611973
ALB,2028,89.73136695,100,72.30103023,Albania,30656729.02457721,70100,0.0022866105494751734,500000,0.01630963302050766,500000,0.01630963302050766
ALB,2029,90.65131961,100,73.07461509,Albania,31415568.049410935,70100,0.0022313777643538243,500000,0.01591567592263783,500000,0.01591567592263783
