"","iso3c","Country","year","km2"
"1","ABW","Aruba",2000,30.05828082
"2","ABW","Aruba",2010,35.59466503
"3","ABW","Aruba",2020,42.09747687
"4","ABW","Aruba",2030,48.69843001
"5","ABW","Aruba",2040,55.75577831
"6","ABW","Aruba",2050,63.2607388
"7","AFG","Afghanistan",2000,724.1323156
"8","AFG","Afghanistan",2010,964.7318719
"9","AFG","Afghanistan",2020,1341.393518
"10","AFG","Afghanistan",2030,1805.125402
"11","AFG","Afghanistan",2040,2352.187899
"12","AFG","Afghanistan",2050,2963.536646
"13","AGO","Angola",2000,1212.932261
"14","AGO","Angola",2010,1513.836154
"15","AGO","Angola",2020,1756.365926
"16","AGO","Angola",2030,2012.829745
"17","AGO","Angola",2040,2290.956694
"18","AGO","Angola",2050,2574.758127
"19","AIA","Anguilla",2000,0.924514612
"20","AIA","Anguilla",2010,0.984436594
"21","AIA","Anguilla",2020,1.042120391
"22","AIA","Anguilla",2030,1.109595741
"23","AIA","Anguilla",2040,1.191870898
"24","AIA","Anguilla",2050,1.287454917
"25","ALB","Albania",2000,421.9800241
"26","ALB","Albania",2010,508.1618999
"27","ALB","Albania",2020,592.6520013
"28","ALB","Albania",2030,685.9394791
"29","ALB","Albania",2040,785.6886042
"30","ALB","Albania",2050,892.8878407
"31","AND","Andorra",2000,8.280701713
"32","AND","Andorra",2010,9.290841371
"33","AND","Andorra",2020,9.913306464
"34","AND","Andorra",2030,10.57083324
"35","AND","Andorra",2040,11.33906237
"36","AND","Andorra",2050,12.21142473
"37","ANT","Netherland Antilles",2000,40.00709076
"38","ANT","Netherland Antilles",2010,43.48461524
"39","ANT","Netherland Antilles",2020,45.97638056
"40","ANT","Netherland Antilles",2030,48.94602066
"41","ANT","Netherland Antilles",2040,52.54507479
"42","ANT","Netherland Antilles",2050,56.63514677
"43","ARE","United Arab Emirates",2000,266.1025334
"44","ARE","United Arab Emirates",2010,294.5197578
"45","ARE","United Arab Emirates",2020,321.9297451
"46","ARE","United Arab Emirates",2030,352.5209689
"47","ARE","United Arab Emirates",2040,386.2536424
"48","ARE","United Arab Emirates",2050,423.3844328
"49","ARG","Argentina",2000,4815.775612
